ma_w,cd,V_b,Q_b,G_b,M_b,V_d,Q_d,G_d,M_d,gs1_b,gs2_b,gs1_d,gs2_d,g_rev_b,g_rev_d,mom_b,mom_d,eb,xb,sb,ed,xd,sd,sl,ts,ts_cd,cal_78,cagr_78,mdd_78,wf_min,wf_mean,wf_cv,wf_2018,wf_2020,wf_2022,wf_2024,score
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.05,-0.25,5,1.311,70.47,53.74,0.625,1.66125,0.3621982899449078,0.625,2.1,1.919,2.001,0.625
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.2,-0.15,2,1.25,58.93,47.13,0.591,1.458,0.36926211010127574,0.591,2.07,1.604,1.567,0.591
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.1,-0.1,1,1.207,62.69,51.93,0.573,1.19275,0.31593358695872165,0.573,1.254,1.582,1.362,0.573
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.1,-0.1,0,1.308,65.85,50.35,0.569,1.456,0.36473013660182546,0.569,1.645,1.629,1.981,0.569
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.15,-0.1,0,1.308,65.85,50.35,0.569,1.456,0.36473013660182546,0.569,1.645,1.629,1.981,0.569
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.2,-0.1,0,1.308,65.85,50.35,0.569,1.456,0.36473013660182546,0.569,1.645,1.629,1.981,0.569
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.1,-0.1,2,1.305,62.45,47.87,0.566,1.4357499999999999,0.37180201996927104,0.566,1.88,1.867,1.43,0.566
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.2,-0.15,3,1.063,52.81,49.7,0.559,1.556,0.38330990607695165,0.559,2.143,1.773,1.749,0.559
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.15,-0.15,2,1.271,59.2,46.57,0.539,1.333,0.3476141956426396,0.539,1.708,1.544,1.541,0.539
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.1,-0.15,2,1.247,58.05,46.57,0.523,1.4525,0.3915757597532453,0.523,2.068,1.64,1.579,0.523
