cfg,variant,period,confirm,oV,oQ,oG,oM,oE,oX,oS,o_mom,dV,dQ,dG,dM,dE,dX,dS,d_mom,cal,cagr,mdd,total
1,oG-5,2022-2023,7,15.0,5.0,45.0,35.0,3,6,3,12m,25.0,15.0,10.0,50.0,5,8,5,6m-1m,4.314,77.89,18.06,207.18
1,oG-5,2020-2021,7,15.0,5.0,45.0,35.0,3,6,3,12m,25.0,15.0,10.0,50.0,5,8,5,6m-1m,2.59,81.11,31.32,221.88
1,oG-5,full,7,15.0,5.0,45.0,35.0,3,6,3,12m,25.0,15.0,10.0,50.0,5,8,5,6m-1m,2.274,96.53,42.45,16742.21
1,oG-5,2024-2026,7,15.0,5.0,45.0,35.0,3,6,3,12m,25.0,15.0,10.0,50.0,5,8,5,6m-1m,4.831,167.7,34.71,774.67
1,oG-5,5.25y,7,15.0,5.0,45.0,35.0,3,6,3,12m,25.0,15.0,10.0,50.0,5,8,5,6m-1m,3.119,108.27,34.71,4226.36
1,oG+5,2018H2-2019,7,15.0,5.0,55.00000000000001,25.0,3,6,3,12m,25.0,15.0,10.0,50.0,5,8,5,6m-1m,1.666,65.45,39.28,109.01
1,oG+5,2020-2021,7,15.0,5.0,55.00000000000001,25.0,3,6,3,12m,25.0,15.0,10.0,50.0,5,8,5,6m-1m,2.14,75.02,35.06,200.93
1,oG+5,2022-2023,7,15.0,5.0,55.00000000000001,25.0,3,6,3,12m,25.0,15.0,10.0,50.0,5,8,5,6m-1m,3.9,70.97,18.2,184.35
1,oG+5,2024-2026,7,15.0,5.0,55.00000000000001,25.0,3,6,3,12m,25.0,15.0,10.0,50.0,5,8,5,6m-1m,4.782,145.79,30.49,624.72
1,oG+5,5.25y,7,15.0,5.0,55.00000000000001,25.0,3,6,3,12m,25.0,15.0,10.0,50.0,5,8,5,6m-1m,3.11,94.82,30.49,2971.12
1,oG+5,full,7,15.0,5.0,55.00000000000001,25.0,3,6,3,12m,25.0,15.0,10.0,50.0,5,8,5,6m-1m,2.262,91.0,40.24,13463.03
1,dV-5,2018H2-2019,7,15.0,5.0,50.0,30.0,3,6,3,12m,20.0,15.0,10.0,55.00000000000001,5,8,5,6m-1m,-0.562,-25.38,45.14,-34.86
1,dV-5,2020-2021,7,15.0,5.0,50.0,30.0,3,6,3,12m,20.0,15.0,10.0,55.00000000000001,5,8,5,6m-1m,2.152,73.21,34.02,194.83
1,dV-5,2022-2023,7,15.0,5.0,50.0,30.0,3,6,3,12m,20.0,15.0,10.0,55.00000000000001,5,8,5,6m-1m,4.384,83.62,19.07,226.75
1,dV-5,2024-2026,7,15.0,5.0,50.0,30.0,3,6,3,12m,20.0,15.0,10.0,55.00000000000001,5,8,5,6m-1m,6.682,203.72,30.49,1055.06
1,dV-5,full,7,15.0,5.0,50.0,30.0,3,6,3,12m,20.0,15.0,10.0,55.00000000000001,5,8,5,6m-1m,1.357,75.97,55.96,7180.86
1,dV-5,5.25y,7,15.0,5.0,50.0,30.0,3,6,3,12m,20.0,15.0,10.0,55.00000000000001,5,8,5,6m-1m,3.559,117.37,32.98,5289.33
1,dV+5,2018H2-2019,7,15.0,5.0,50.0,30.0,3,6,3,12m,30.0,15.0,10.0,45.0,5,8,5,6m-1m,3.113,92.59,29.74,161.09
