ma_w,cd,V_b,Q_b,G_b,M_b,V_d,Q_d,G_d,M_d,gs1_b,gs2_b,gs1_d,gs2_d,g_rev_b,g_rev_d,mom_b,mom_d,eb,xb,sb,ed,xd,sd,sl,ts,ts_cd,cal_78,cagr_78,mdd_78,sharpe_78,sortino_78,total_78,wf_min,wf_mean,wf_cv,wf_2018,wf_2020,wf_2022,wf_2024
250,8,0.1,0.0,0.6,0.3,0.4,0.1,0.1,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.685,73.44,43.59,1.471,2.332,6669.87,0.139,0.27999999999999997,0.3247153384433944,0.284,0.139,0.392,0.305
250,8,0.1,0.0,0.6,0.3,0.2,0.15,0.15,0.5,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.695,78.75,46.44,1.503,2.467,8427.43,0.127,0.215,0.4256385779349668,0.14,0.127,0.355,0.238
250,8,0.1,0.0,0.6,0.3,0.3,0.05,0.15,0.5,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.696,86.9,51.25,1.61,2.533,11898.28,0.119,0.405,0.5115671610057457,0.474,0.119,0.689,0.338
250,8,0.1,0.0,0.6,0.3,0.2,0.2,0.2,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.678,65.91,39.27,1.358,2.202,4720.68,0.104,0.17325000000000002,0.5676904125696388,0.119,0.104,0.343,0.127
250,8,0.1,0.0,0.6,0.3,0.25,0.15,0.1,0.5,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.653,72.57,43.9,1.446,2.365,6414.54,0.097,0.19524999999999998,0.4339720186960903,0.097,0.126,0.268,0.29
250,8,0.1,0.0,0.6,0.3,0.3,0.15,0.1,0.45,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,2.08,82.48,39.65,1.572,2.55,9888.47,0.09,0.29100000000000004,0.4842862069253187,0.405,0.09,0.44,0.229
250,8,0.1,0.0,0.6,0.3,0.3,0.15,0.25,0.3,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,2.0,72.5,36.24,1.429,2.36,6395.55,0.085,0.2705,0.4604740085741985,0.229,0.375,0.393,0.085
250,8,0.1,0.0,0.6,0.3,0.35,0.1,0.25,0.3,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.91,78.44,41.07,1.488,2.457,8314.77,0.085,0.23825,0.44595271890645294,0.234,0.085,0.385,0.249
250,8,0.1,0.0,0.6,0.3,0.4,0.1,0.25,0.25,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.877,71.32,37.99,1.421,2.325,6063.53,0.084,0.19575,0.613583984776956,0.102,0.211,0.386,0.084
250,8,0.1,0.0,0.6,0.3,0.2,0.05,0.25,0.5,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.615,81.64,50.55,1.482,2.443,9541.45,0.08,0.184,0.39153073161582347,0.08,0.212,0.166,0.278
250,8,0.1,0.0,0.6,0.3,0.35,0.2,0.2,0.25,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,2.138,82.38,38.53,1.554,2.543,9845.76,0.054,0.457,0.6511510737466178,0.769,0.054,0.715,0.29
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.262,61.33,48.58,1.325,2.062,3791.13,0.476,0.91075,0.29510306434693806,0.476,1.003,1.21,0.954
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,gp_growth_z,rev_z,oca_z,0.6,0.7,6m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.825,46.9,56.85,1.087,1.619,1798.46,0.47,0.8460000000000001,0.28656807286960406,0.47,0.815,1.12,0.979
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,12m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.502,70.63,47.02,1.435,2.269,5875.25,0.451,0.8432499999999999,0.44246921407751383,0.451,1.28,1.146,0.496
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.823,40.62,49.34,0.999,1.446,1258.94,0.445,0.6587500000000001,0.20726587665513263,0.445,0.645,0.81,0.735
