date,factor,ic,n
20190715,growth_s,0.1278,71
20190715,momentum_s,0.062844,71
20190715,mom_10_z,-0.001744,71
20190715,vol_low_z,0.169718,71
20190715,score,0.112392,71
20190716,value_s,0.01398,70
20190716,growth_s,0.29595,70
20190716,momentum_s,0.111644,70
20190716,mom_10_z,-0.127845,70
20190716,vol_low_z,0.196606,70
20190716,score,0.286117,70
20190717,value_s,-0.180042,58
20190717,growth_s,0.320188,58
20190717,momentum_s,0.058107,58
20190717,mom_10_z,0.043035,58
20190717,vol_low_z,0.035898,58
20190717,score,0.268818,58
20190718,value_s,-0.143614,62
20190718,growth_s,0.241095,62
20190718,momentum_s,0.039989,62
20190718,mom_10_z,0.079249,62
20190718,vol_low_z,0.110701,62
20190718,score,0.180582,62
20190719,value_s,-0.103594,77
20190719,growth_s,0.198947,77
20190719,mom_10_z,-0.007322,77
20190719,vol_low_z,0.124271,77
20190719,score,-0.07695,77
20190722,value_s,-0.078414,76
20190722,growth_s,0.100342,76
20190722,mom_10_z,-0.13337,76
20190722,vol_low_z,0.150622,76
20190722,score,-0.045496,76
20190723,value_s,-0.261513,67
20190723,growth_s,0.185809,67
20190723,momentum_s,0.032724,67
20190723,mom_10_z,-0.036835,67
20190723,vol_low_z,0.032764,67
20190723,score,0.106353,67
20190724,value_s,-0.271386,62
20190724,growth_s,0.138022,62
20190724,momentum_s,0.067815,62
20190724,mom_10_z,0.094055,62
20190724,vol_low_z,-0.089119,62
20190724,score,0.094609,62
20190725,value_s,-0.256931,55
20190725,growth_s,0.160825,55
20190725,momentum_s,0.061293,55
20190725,mom_10_z,-0.034813,55
20190725,vol_low_z,-0.075867,55
20190725,score,0.124425,55
20190726,value_s,-0.076327,49
20190726,growth_s,-0.013673,49
20190726,momentum_s,0.00898,49
20190726,mom_10_z,0.096735,49
20190726,vol_low_z,-0.026837,49
20190726,score,0.042755,49
20190729,value_s,-0.121388,40
20190729,growth_s,0.098687,40
20190729,momentum_s,0.103002,40
20190729,mom_10_z,-0.052911,40
20190729,vol_low_z,-0.157036,40
20190729,score,0.119887,40
20190730,value_s,-0.124506,45
20190730,growth_s,0.03307,45
20190730,mom_10_z,-0.084058,45
20190730,vol_low_z,0.024242,45
20190730,score,-0.110804,45
20190731,value_s,-0.04201,48
20190731,growth_s,0.001954,48
20190731,mom_10_z,-0.019106,48
20190731,vol_low_z,-0.085323,48
20190731,score,-0.046678,48
