ticker,name,market,mc_krw,g_score,rev_z,oca_z,v_score,q_score,m_score,composite_score,composite_rank,ntm_score,s_7,s_30,s_60,s_90,rev_net30,na,fwd_pe
074600,WONIK QnC,KQ,887220000000.0,-0.5047,-0.0967,-0.8297,0.13,-0.0299,0.4902,-0.1111,214,-0.1053070356054974,-0.10432445638895675,-0.10432445638895675,-0.10432445638895675,-0.10628961482203803,0.0,3.0,14.854253
100840,SNTEnergy,KS,859286533650.0,1.9582,1.697,1.9069,0.4962,1.3515,-1.2541,0.7752,43,0.034186390964018695,0.023428912000487655,-0.16882278150633864,-0.16882278150633864,0.12184454733028026,1.0,3.0,10.727285
248070,SOLUM,KS,848260026640.0,-0.5335,-0.0604,-0.9191,0.2515,0.0681,-1.1001,-0.5857,280,-0.054068338256303854,0.0,-0.03997011580127004,-0.08345221112696141,-0.08345221112696141,1.0,4.0,13.629109
014620,SKB,KQ,843196307000.0,-0.1049,0.0302,-0.2212,-0.1849,0.0055,-0.3414,-0.1879,225,-0.09570459907351445,-0.04159152031178019,-0.01687352098596523,0.025642243554491944,-0.16820803047366611,1.0,4.0,17.826187
241710,COSMECCA KOREA,KQ,788184000000.0,0.8389,0.7066,0.8384,0.0563,1.1366,0.342,0.5724,76,0.05074535541550074,0.03853833019970188,0.031268024415357996,0.007845639784516523,0.07054497987120543,-2.0,12.0,12.20575
356860,TLB,KQ,784643874000.0,1.8226,1.4838,1.8706,-1.1966,0.3263,1.2949,1.2114,8,-0.05567156567916362,-0.016617438476574722,-0.12387959866220735,-0.06217779814411729,-0.06416118891111747,-1.0,5.0,25.617874
060250,NHN KCP,KQ,779919065620.0,0.3589,0.2813,0.3808,0.721,1.5083,0.0524,0.3213,111,0.08473729498414449,0.050176029997656454,0.15018080916856533,0.13585337270423395,0.08216213559513526,2.0,6.0,12.960075
178920,PIAM,KS,678362038200.0,0.0378,-0.2191,0.2905,0.1141,0.7577,-0.2371,-0.0332,191,0.18201818231490352,0.13641229591031737,0.20156356220258329,0.20156356220258329,0.20156356220258329,1.0,4.0,15.897089
090460,BH,KS,670185375440.0,-0.7281,-0.39,-0.9473,0.7948,0.0517,-0.0379,-0.2926,250,0.04051788013295486,0.04436691820560464,0.05417848124730892,0.04608144295352235,0.03436362450238069,2.0,11.0,10.895881
001820,SamwhaCapacitor,KS,626818500000.0,-0.6728,-0.552,-0.6836,-0.2625,-0.0713,0.1202,-0.3733,263,-0.17119776236196826,-0.14119921352773707,-0.18405428329092452,-0.18405428329092452,-0.18405428329092452,-1.0,3.0,22.051113
336570,WONTECH,KQ,622584767240.0,0.7273,0.7459,0.5939,-0.3199,1.6436,-1.1321,0.0124,182,-0.11675735346975269,-0.030082269162904966,-0.15390381817268742,-0.15390381817268742,-0.15390381817268742,-2.0,4.0,11.845823
