symbol,name,market,mc_krw,eps_trend_ok,fy_complete_0y,fy_complete_1y,snap_ok_count,0y_current,0y_7d,0y_30d,0y_60d,0y_90d,1y_current,1y_90d,endDate_0y_ok,endDate_1y_ok,rev_ok_0y,up7,up30,dn30,dn7,na,rev_growth,op_margin,gross_margin,fwd_pe,fwd_eps,earn_date_present,error,ticker
166090.KQ,Hana Materials,KQ,1168860533400.0,True,True,True,5,4014.0,3194.0,3194.0,3194.0,2297.0,5185.0,2731.0,True,True,True,1.0,1.0,0.0,0.0,5.0,0.17,0.25787002,0.31114,14.657666,,False,,166090
213420.KQ,DUK SAN NEOLUX,KQ,1104987465500.0,True,True,True,5,2742.0,2742.0,2742.0,3153.6284,3153.6284,3946.8457,3689.278,True,True,True,0.0,0.0,2.0,2.0,9.0,1.436,0.18145001,0.33714,12.63034,,False,,213420
003160.KS,DI,KS,1088135000000.0,True,True,True,5,1085.0,1394.2778,1394.2778,1394.2778,1364.0,1715.6852,1798.0,True,True,True,0.0,0.0,0.0,0.0,2.0,0.191,0.04685,0.21114,17.893726,,False,,003160
192080.KS,DoubleUGames,KS,1065025440400.0,True,True,True,5,7960.75,7960.75,7922.5,7910.0,7952.3,8768.0,8732.111,True,True,True,0.0,0.0,0.0,0.0,11.0,0.283,0.31983998,1.0,6.8202553,,False,,192080
281820.KS,KCTECH,KS,1051068408400.0,True,True,True,5,2396.0,2396.0,2396.0,2249.0,2249.0,3288.0,2642.0,True,True,True,0.0,0.0,1.0,0.0,2.0,-0.229,0.19431,0.37053,23.874697,,False,,281820
171090.KQ,SUNIC SYSTEM,KQ,1041823548000.0,True,True,True,5,8910.0,8773.0,8773.0,8773.0,5795.0,10862.0,10079.0,True,True,True,0.0,2.0,0.0,0.0,2.0,4.506,0.24229999,0.26266,8.267354,,False,,171090
005690.KS,Pharmicell,KS,956070236520.0,True,False,False,0,,,,,,,,True,False,False,,,,,1.0,-0.582,-0.85949,0.22745001,,,False,,005690
195870.KS,HAESUNG DS,KS,952000000000.0,True,True,True,5,4430.5713,4880.1113,5009.778,5023.5557,5017.625,6082.7,5975.2,True,True,True,2.0,1.0,3.0,2.0,10.0,0.239,0.121120006,0.14968,14.401499,,False,,195870
010780.KS,IS DONGSEO,KS,932777558400.0,True,True,True,5,1858.0,1923.6666,1923.6666,1461.0,1692.0,3689.0,2933.0,True,True,True,1.0,1.0,0.0,0.0,2.0,0.099,-0.082320005,0.25572002,7.928978,,False,,010780
044490.KQ,TAEWOONG,KQ,906334359300.0,True,True,True,5,1427.0,1604.0,1604.0,2091.0,2091.0,2440.5,2394.0,True,True,True,0.0,0.0,1.0,1.0,2.0,-0.161,-0.01496,0.10075,18.64372,,False,,044490
074600.KQ,WONIK QnC,KQ,887220000000.0,True,True,True,5,1833.0,2046.5,2046.5,2046.5,2051.0,2504.3333,2603.3333,True,True,True,1.0,1.0,1.0,1.0,3.0,0.147,0.074039996,0.2622,14.854253,,False,,074600
100840.KS,SNTEnergy,KS,859286533650.0,True,True,True,5,4458.4346,4356.3696,5364.0,5364.0,3974.2,4563.1304,5550.3335,True,True,True,1.0,1.0,0.0,0.0,3.0,1.109,0.23158,0.26337,10.727285,,False,,100840
033240.KS,JahwaElec,KS,851772299400.0,True,True,True,5,2705.0,2262.5,2262.5,2262.5,1858.0,3048.0,2465.5,True,True,True,2.0,2.0,0.0,0.0,2.0,0.399,0.10127,0.16351,15.321523,,False,,033240
052400.KQ,KONA I,KQ,851952523500.0,True,False,False,0,,,,,,,,True,False,False,,,,,,0.505,0.319,0.48131,,,False,,052400
248070.KS,SOLUM,KS,848260026640.0,True,True,True,5,1028.0,1028.0,1070.8,1121.6,1121.6,1566.5,1439.2,True,True,True,1.0,1.0,0.0,0.0,4.0,0.245,0.01884,0.16271,13.629109,,False,,248070
014620.KQ,SKB,KQ,843196307000.0,True,True,True,5,1666.9868,1739.3281,1695.5975,1625.3102,2004.091,1952.1841,2443.7234,True,True,True,1.0,1.0,0.0,0.0,4.0,0.018,0.14687,0.3524,17.826187,,False,,014620
086450.KQ,DongKook Pharm,KQ,809624518000.0,True,True,True,5,1884.0,1909.0,1797.0,1797.0,1797.0,2215.0,2066.0,True,True,True,1.0,1.0,0.0,0.0,1.0,,,,,,False,,086450
241710.KQ,COSMECCA KOREA,KQ,788184000000.0,True,True,True,5,6227.323,5996.238,6038.5107,6178.846,5816.9653,7037.6665,6615.303,True,True,True,0.0,1.0,3.0,1.0,12.0,0.39,0.11788,0.24561001,12.20575,,False,,241710
356860.KQ,TLB,KQ,784643874000.0,True,True,True,5,3274.5,3329.8333,3737.5,3491.6,3499.0,4282.1665,4130.4,True,True,True,0.0,1.0,2.0,2.0,5.0,0.456,0.11823,0.14679,25.617874,,False,,356860
050890.KQ,Solid,KQ,783759288600.0,True,False,False,0,,,,,,,,True,False,False,,,,,,,,,,,False,,050890
060250.KQ,NHN KCP,KQ,779919065620.0,True,True,True,5,1400.3441,1333.4375,1217.4991,1232.8564,1294.0243,1496.1333,1433.9637,True,True,True,2.0,2.0,0.0,0.0,6.0,0.162,0.04662,0.09781,12.960075,,False,,060250
