symbol,name,market,mc_krw,eps_trend_ok,fy_complete_0y,fy_complete_1y,snap_ok_count,0y_current,0y_7d,0y_30d,0y_60d,0y_90d,1y_current,1y_90d,endDate_0y_ok,endDate_1y_ok,rev_ok_0y,up7,up30,dn30,dn7,na,rev_growth,op_margin,gross_margin,fwd_pe,fwd_eps,earn_date_present,error
033160.KQ,MKElectron,KQ,639843316000.0,True,True,True,5,1194.0,1194.0,796.0,0.0,0.0,1801.0,0.0,True,True,True,0,0,0,0,1,0.213,0.111949995,0.059660003,16.435314,,False,
125490.KQ,HALLACAST,KQ,637331065920.0,True,True,True,5,270.6,411.0,411.0,411.0,411.0,382.2,0.0,True,True,True,0,0,0,0,,0.137,0.02654,0.13077,42.700157,,False,
008060.KS,DAEDUCK,KS,625429089020.0,True,False,False,0,,,,,,,,True,False,False,,,,,,0.348,0.07043,0.1007,,,False,
041960.KQ,KOMIPHARM,KQ,636901586900.0,True,False,False,0,,,,,,,,True,False,False,,,,,,,,,,,False,
009900.KS,MS IND,KS,623869881370.0,True,True,True,5,1539.0,1905.3334,1905.3334,1905.3334,1905.3334,1995.6666,2124.0,True,True,True,0,0,1,1,3,0.071,0.02395,0.11253,5.892768,,False,
330860.KQ,Nepes Ark,KQ,621386295000.0,True,False,False,0,,,,,,,,False,False,False,,,,,,-0.034,0.067140006,0.1348,,,False,
104830.KQ,WIMCO,KQ,622204800000.0,True,True,True,5,4350.137,4081.4111,4081.4111,4202.47,4202.47,5154.701,4718.701,True,True,True,0,0,0,0,3,0.089,0.18778999,0.37243,9.467086,,False,
006910.KQ,BOSUNG POWER,KQ,612157607040.0,True,False,False,0,,,,,,,,True,False,False,,,,,,,,,,,False,
041830.KQ,InBody,KQ,606639690000.0,True,True,True,5,3506.0,2958.0,2958.0,2958.0,2991.0,3982.0,3485.0,True,True,True,1,1,0,0,1,,,,,,False,
006380.KS,"006380.KS,0P0000AYHG,0",?,618539985360.0,False,False,False,0,,,,,,,,False,False,False,,,,,,,,,,,False,
010820.KS,FIRSTEC,KS,603796592440.0,True,False,False,0,,,,,,,,True,False,False,,,,,,-0.217,-0.29476,-0.03861,,,False,
005810.KS,POONGSAN HOLDINGS,KS,602642805600.0,True,True,True,5,4545.0,0.0,0.0,0.0,0.0,4716.0,0.0,True,True,True,0,0,0,0,1,-0.105,0.02229,0.21825,9.223919,,False,
138080.KQ,OE Solutions,KQ,606510142000.0,True,True,False,5,595.0,0.0,0.0,0.0,0.0,,,True,True,True,0,0,0,0,,,,,,,False,
019170.KS,ShinpoongPharm,KS,601764632560.0,True,False,False,0,,,,,,,,False,False,False,,,,,,0.05,0.06663,0.43749002,,,False,
002240.KS,KISWire,KS,599400000000.0,True,False,False,0,,,,,,,,True,False,False,,,,,,0.042,0.0019400001,0.12599,,,False,
001530.KS,DI DONGIL,KS,595574103750.0,True,True,True,5,589.3,589.0,589.0,589.0,722.0,900.3,1081.0,True,True,True,1,1,0,0,1,-0.146,-0.022880001,0.097720005,34.099747,,False,
101930.KQ,Inhwa Precision,KQ,599214041800.0,True,False,False,0,,,,,,,,True,False,False,,,,,,0.021,0.14132,0.23316999,,,False,
