v,q,g,m,gr,mom,cagr,mdd,cal,sh,sort
5,10,70,15,0.3,12m,75.8,43.39,1.747,1.394,2.226
5,15,55,25,0.7,12m-1m,82.79,47.38,1.747,1.492,2.403
5,10,55,30,0.7,12m-1m,86.46,49.54,1.745,1.521,2.479
10,10,45,35,0.8,12m-1m,82.73,47.55,1.74,1.486,2.393
10,15,55,20,0.4,12m-1m,69.59,40.1,1.735,1.346,2.107
25,5,55,15,0.8,12m,64.46,37.17,1.734,1.272,1.945
5,0,65,30,0.3,12m,77.88,44.95,1.733,1.416,2.265
0,10,70,20,0.3,12m-1m,71.94,41.52,1.733,1.354,2.166
10,10,60,20,0.5,12m,79.6,45.94,1.733,1.434,2.32
20,5,65,10,0.8,12m,67.62,39.04,1.732,1.293,1.93
30,10,40,20,0.4,12m,55.43,32.04,1.73,1.197,1.889
10,15,60,15,0.5,12m,79.18,45.78,1.729,1.432,2.317
5,15,55,25,0.8,12m-1m,76.8,44.41,1.729,1.42,2.3
5,5,70,20,0.4,12m,84.97,49.17,1.728,1.474,2.383
0,15,50,35,0.6,12m-1m,78.87,45.65,1.728,1.434,2.302
10,5,45,40,0.6,12m-1m,67.28,38.96,1.727,1.313,2.079
