combo,ratio,v,q,g,m,cagr,mdd,calmar,sharpe,sortino
rev_z+oca_z+rev_accel_z,0.7/0.2/0.1,20,10,15,55,30.47,64.64,0.471,0.86,0.775
rev_z+oca_z+rev_accel_z,0.7/0.2/0.1,25,10,25,40,-15.15,58.5,-0.259,-0.044,-0.043
rev_z+oca_z+rev_accel_z,0.7/0.2/0.1,10,5,25,60,13.54,69.1,0.196,0.598,0.55
rev_z+oca_z+rev_accel_z,0.3/0.4/0.3,15,10,25,50,8.6,59.88,0.144,0.469,0.461
rev_z+oca_z+rev_accel_z,0.3/0.4/0.3,20,10,20,50,13.99,55.8,0.251,0.568,0.542
rev_z+oca_z+rev_accel_z,0.3/0.4/0.3,15,10,20,55,8.14,58.84,0.138,0.459,0.447
rev_z+oca_z+rev_accel_z,0.3/0.4/0.3,25,10,20,45,-1.17,56.83,-0.021,0.275,0.263
rev_z+oca_z+rev_accel_z,0.3/0.4/0.3,15,5,20,60,2.79,72.91,0.038,0.453,0.404
rev_z+oca_z+rev_accel_z,0.3/0.4/0.3,20,5,25,50,20.74,60.48,0.343,0.683,0.664
rev_z+oca_z+rev_accel_z,0.3/0.4/0.3,10,10,30,50,-3.23,61.39,-0.053,0.245,0.249
