v,q,g,m,mom,entry,exit,slots,sl,trail,corr_th,calmar,cagr,mdd,sharpe,sortino,avg_holdings
20,5,60,15,12m,5,8,7,-0.12,-0.15,0.65,2.617,81.51,31.15,1.648,2.573,5.1
20,5,60,15,12m,5,8,7,-0.12,-0.15,0.6,2.617,81.51,31.15,1.648,2.573,5.1
20,5,60,15,12m,7,8,3,-0.1,-0.15,0.65,2.616,92.16,35.23,1.562,2.491,3.0
20,5,60,15,12m,7,8,3,-0.1,-0.15,,2.616,92.16,35.23,1.562,2.491,3.0
20,5,60,15,12m,7,8,3,-0.1,-0.15,0.6,2.616,92.16,35.23,1.562,2.491,3.0
20,5,60,15,12m,5,8,7,,-0.15,,2.616,81.48,31.15,1.647,2.573,5.1
20,5,60,15,12m,5,8,7,,-0.15,0.65,2.616,81.48,31.15,1.647,2.573,5.1
20,5,60,15,12m,5,8,7,,-0.15,0.6,2.616,81.48,31.15,1.647,2.573,5.1
20,5,60,15,12m,5,12,3,,-0.2,0.6,2.615,100.22,38.33,1.635,2.597,3.0
20,5,60,15,12m,5,12,3,,-0.2,,2.615,100.22,38.33,1.635,2.597,3.0
20,5,60,15,12m,5,12,3,,-0.2,0.65,2.615,100.22,38.33,1.635,2.597,3.0
10,0,70,20,12m-1m,5,8,5,,-0.15,0.65,2.613,89.69,34.33,1.735,2.817,4.7
20,5,60,15,12m,5,15,3,,-0.2,0.65,2.613,100.69,38.54,1.636,2.608,3.0
10,0,70,20,12m-1m,5,8,5,,-0.15,0.6,2.613,89.69,34.33,1.735,2.817,4.7
20,5,60,15,12m,5,15,3,,-0.2,,2.613,100.69,38.54,1.636,2.608,3.0
20,5,60,15,12m,5,15,3,,-0.2,0.6,2.613,100.69,38.54,1.636,2.608,3.0
10,0,70,20,12m-1m,5,8,5,,-0.15,,2.613,89.69,34.33,1.735,2.817,4.7
10,0,70,20,12m-1m,3,8,3,-0.08,-0.15,,2.611,98.56,37.74,1.6,2.617,2.8
10,0,70,20,12m-1m,3,8,3,-0.08,-0.15,0.6,2.611,98.56,37.74,1.6,2.617,2.8
10,0,70,20,12m-1m,3,8,3,-0.08,-0.15,0.65,2.611,98.56,37.74,1.6,2.617,2.8
