v,q,g,m,mom,g_sub,entry,exit,slots,cal,cagr,mdd,sharpe,sortino
30,0,35,35,6m,rev+oca 7:3,5,10,7,1.049,50.18,47.82,0.679,2.503
30,0,35,35,6m,rev+oca 7:3,10,12,5,1.048,50.85,48.51,0.682,2.532
30,5,35,30,6m-1m,rev+opm 7:3,7,8,7,1.047,56.91,54.34,0.726,2.639
25,0,35,40,6m,rev+opm 7:3,10,12,5,1.047,53.27,50.86,0.766,2.416
30,0,35,35,6m,rev+oca 7:3,10,11,3,1.047,60.07,57.36,0.66,2.891
30,5,35,30,6m-1m,rev+opm 7:3,7,11,7,1.046,55.55,53.13,0.716,2.592
30,0,35,35,6m,rev+oca 7:3,7,11,3,1.046,59.99,57.36,0.66,2.871
25,0,35,40,6m-1m,rev+opm 7:3,7,11,5,1.045,55.07,52.69,0.78,2.463
25,0,35,40,6m,rev+opm 7:3,10,14,7,1.044,51.03,48.89,0.875,2.272
20,5,35,40,6m,rev+opm 7:3,10,15,3,1.04,56.36,54.21,0.896,2.041
25,20,35,20,6m,rev+oca 7:3,3,6,3,1.04,64.89,62.39,0.59,3.35
30,20,10,40,6m-1m,rev+opm 7:3,5,6,5,1.04,53.78,51.74,0.699,2.605
30,5,35,30,6m,rev+oca 7:3,10,12,3,1.037,53.06,51.18,0.525,2.996
20,20,35,25,6m-1m,rev+opm 7:3,7,10,7,1.036,48.3,46.62,0.73,2.333
30,10,35,25,6m-1m,rev+oca 7:3,7,8,7,1.036,51.7,49.9,0.826,2.339
20,5,35,40,6m,rev+opm 7:3,5,10,7,1.035,53.24,51.41,0.765,2.41
20,0,35,45,6m-1m,rev+opm 7:3,10,12,7,1.033,54.04,52.33,0.852,2.342
20,20,35,25,6m-1m,rev+opm 7:3,7,9,7,1.032,48.31,46.82,0.73,2.326
30,0,35,35,6m,rev+oca 7:3,7,12,5,1.032,50.23,48.68,0.678,2.509
30,20,10,40,6m-1m,rev+oca 7:3,7,8,3,1.03,64.82,62.96,0.58,3.54
25,15,35,25,6m-1m,rev+opm 7:3,10,12,7,1.029,51.61,50.17,0.763,2.412
25,0,35,40,6m,rev+opm 7:3,10,15,7,1.028,50.38,48.99,0.869,2.242
25,20,35,20,6m,rev+oca 7:3,7,11,5,1.027,49.09,47.79,0.671,2.51
25,20,35,20,6m,rev+oca 7:3,5,8,7,1.026,47.94,46.74,0.729,2.221
30,20,10,40,6m-1m,rev+oca 7:3,7,9,3,1.025,65.15,63.56,0.581,3.529
30,20,10,40,6m-1m,rev+opm 7:3,10,14,3,1.023,62.38,60.98,0.571,3.529
30,15,25,30,6m,rev+oca 7:3,7,12,5,1.022,50.65,49.54,0.68,2.498
30,5,35,30,6m,rev+oca 7:3,7,12,3,1.021,52.24,51.18,0.522,2.956
30,0,35,35,6m,rev+oca 7:3,5,8,5,1.02,52.47,51.45,0.688,2.582
30,0,35,35,6m,rev+oca 7:3,7,9,5,1.019,53.89,52.9,0.77,2.457
25,20,35,20,6m,rev+oca 7:3,7,10,5,1.018,50.51,49.62,0.681,2.527
25,0,35,40,6m-1m,rev+opm 7:3,5,9,5,1.017,56.62,55.67,0.793,2.494
30,15,25,30,6m,rev+oca 7:3,7,9,7,1.016,48.57,47.78,0.737,2.312
25,0,35,40,6m-1m,rev+opm 7:3,5,7,5,1.015,54.94,54.13,0.781,2.421
25,0,35,40,6m-1m,rev+opm 7:3,7,8,5,1.015,56.27,55.44,0.792,2.386
20,0,35,45,6m-1m,rev+opm 7:3,10,11,7,1.013,53.43,52.72,0.846,2.334
20,20,35,25,6m-1m,rev+opm 7:3,7,12,7,1.012,48.06,47.5,0.732,2.301
25,0,35,40,6m,rev+opm 7:3,7,9,7,1.01,47.45,46.98,0.78,2.226
20,0,35,45,6m-1m,rev+opm 7:3,10,15,3,1.009,56.05,55.54,0.64,2.455
20,0,35,45,6m-1m,rev+opm 7:3,5,8,3,1.008,55.14,54.68,0.634,2.542
30,15,25,30,6m,rev+oca 7:3,7,11,5,1.005,52.12,51.88,0.691,2.518
25,0,35,40,6m-1m,rev+opm 7:3,7,8,7,1.004,56.18,55.96,0.803,2.392
25,20,35,20,6m,rev+oca 7:3,5,8,5,1.003,47.68,47.53,0.661,2.379
25,0,35,40,6m-1m,rev+opm 7:3,7,12,5,1.003,51.41,51.25,0.752,2.353
30,10,35,25,6m-1m,rev+oca 7:3,3,8,3,1.002,45.84,45.75,0.581,2.386
30,15,25,30,6m,rev+oca 7:3,7,12,7,1.0,48.35,48.35,0.738,2.286
25,15,35,25,6m-1m,rev+opm 7:3,7,10,7,0.996,52.31,52.53,0.769,2.391
30,5,35,30,6m,rev+oca 7:3,5,8,5,0.995,59.95,60.27,0.736,2.764
30,15,25,30,6m,rev+oca 7:3,7,11,7,0.995,47.02,47.26,0.726,2.243
30,0,35,35,6m,rev+oca 7:3,5,10,5,0.994,48.17,48.45,0.664,2.454
30,5,35,30,6m,rev+oca 7:3,10,14,7,0.993,50.81,51.16,0.819,2.311
25,20,35,20,6m,rev+oca 7:3,5,10,7,0.991,48.6,49.06,0.734,2.279
25,0,35,40,6m,rev+opm 7:3,7,11,5,0.991,51.86,52.31,0.755,2.38
25,0,35,40,6m,rev+opm 7:3,10,14,5,0.989,50.63,51.21,0.747,2.315
30,20,10,40,6m-1m,rev+opm 7:3,5,6,7,0.988,52.06,52.7,0.687,2.568
25,0,35,40,6m-1m,rev+opm 7:3,5,10,5,0.987,56.48,57.21,0.792,2.477
20,5,35,40,6m,rev+opm 7:3,7,8,3,0.986,52.95,53.72,0.854,2.042
30,0,35,35,6m,rev+oca 7:3,10,14,5,0.986,51.85,52.58,0.689,2.536
