atk,def,rule,cagr,mdd,cal,sh,sort,sw,boost
A5_3f_rog_G70M25,D4_3f_rog_M60S5,KP_MA200_4d,119.46,36.97,3.231,1.935,3.119,15,53.68502715283165
A3_3f_rog_G60M25,D5_2f_rao_M55,KK_MA120_3d,104.22,32.29,3.228,1.873,2.965,17,50.89216446858029
A5_3f_rog_G70M25,D1_3f_rog_M60S7,KP_MA250_4d,108.53,33.66,3.224,1.848,2.916,15,48.021722265321955
A4_3f_roo_G60M30,D5_2f_rao_M55,KP_MA250_2d,116.35,36.09,3.224,1.939,3.047,25,48.87509697439876
A5_3f_rog_G70M25,D4_3f_rog_M60S5,KK_MA60_3d,97.03,30.11,3.223,1.738,2.75,39,50.73700543056633
A7_2f_roc_G55M25,D2_2f_oar_V40G40,KP_MA150_5d,100.79,31.27,3.223,1.827,2.86,15,56.788207913110945
A7_2f_roc_G55M25,D1_3f_rog_M60S7,KP_MA120_4d,102.63,31.88,3.219,1.794,2.893,15,57.874321179208685
A7_2f_roc_G55M25,D3_3f_roo_M60S7,KP_MA200_2d,107.15,33.29,3.218,1.874,3.01,21,54.30566330488751
A2_3f_rog_G65M30,D4_3f_rog_M60S5,KK_MA120_3d,106.07,32.97,3.217,1.815,2.887,17,50.89216446858029
A6_2f_oca_G60M25,D1_3f_rog_M60S7,KP_MA150_3d,97.59,30.37,3.214,1.728,2.779,25,56.477889837083005
A2_3f_rog_G65M30,D1_3f_rog_M60S7,B126_35_5d,104.42,32.51,3.212,1.754,2.729,15,67.88207913110938
A7_2f_roc_G55M25,D3_3f_roo_M60S7,KP_MA250_4d,106.1,33.04,3.211,1.869,2.989,15,48.021722265321955
A4_3f_roo_G60M30,D5_2f_rao_M55,B126_40_5d,126.68,39.47,3.209,2.041,3.13,13,57.176105508145845
A6_2f_oca_G60M25,D4_3f_rog_M60S5,B126_40_3d,109.35,34.09,3.208,1.856,2.98,19,57.56400310318076
A4_3f_roo_G60M30,D6_2f_rvo_M60,KP_MA200_2d,109.08,34.02,3.206,1.852,3.011,21,54.30566330488751
A6_2f_oca_G60M25,D6_2f_rvo_M60,KP_MA120_2d,104.09,32.48,3.205,1.783,2.946,21,58.10705973622964
A1_3f_rgp_G60M40,D5_2f_rao_M55,KP_MA200_3d,119.32,37.23,3.205,1.942,3.019,19,54.3832428238945
A3_3f_rog_G60M25,D6_2f_rvo_M60,B126_35_4d,101.79,31.77,3.204,1.741,2.695,15,67.95965865011637
A2_3f_rog_G65M30,D3_3f_roo_M60S7,KK_MA120_3d,101.38,31.65,3.203,1.796,2.851,17,50.89216446858029
A5_3f_rog_G70M25,D4_3f_rog_M60S5,KP_MA200_3d,115.79,36.16,3.203,1.913,3.053,19,54.3832428238945
A6_2f_oca_G60M25,D3_3f_roo_M60S7,KP_MA150_5d,108.35,33.83,3.203,1.865,2.998,15,56.788207913110945
A4_3f_roo_G60M30,D4_3f_rog_M60S5,KP_MA120_3d,99.08,30.94,3.202,1.735,2.781,15,57.951900698215674
A3_3f_rog_G60M25,D7_3f_rog_E7S7,KP_MA250_3d,107.71,33.66,3.2,1.907,2.946,15,48.09930178432894
A7_2f_roc_G55M25,D5_2f_rao_M55,KP_MA120_5d,113.06,35.35,3.199,1.941,3.085,15,57.79674166020171
A5_3f_rog_G70M25,D5_2f_rao_M55,KK_MA120_4d,124.13,38.81,3.198,2.051,3.31,15,50.19394879751745
A5_3f_rog_G70M25,D6_2f_rvo_M60,KP_MA120_2d,104.75,32.76,3.198,1.794,2.922,21,58.10705973622964
A3_3f_rog_G60M25,D7_3f_rog_E7S7,B126_30_4d,99.91,31.29,3.193,1.741,2.664,17,73.23506594259116
A5_3f_rog_G70M25,D1_3f_rog_M60S7,B126_45_3d,109.5,34.3,3.192,1.88,2.964,23,48.95267649340574
A5_3f_rog_G70M25,D6_2f_rvo_M60,B126_45_3d,114.78,35.99,3.19,1.922,3.077,23,48.95267649340574
A4_3f_roo_G60M30,D3_3f_roo_M60S7,B126_35_3d,108.37,33.97,3.19,1.812,2.821,19,67.57176105508145
A4_3f_roo_G60M30,D4_3f_rog_M60S5,B126_45_5d,106.28,33.33,3.189,1.827,2.944,17,49.72847168347556
A2_3f_rog_G65M30,D2_2f_oar_V40G40,KP_MA200_4d,102.01,32.0,3.188,1.815,2.864,15,53.68502715283165
A6_2f_oca_G60M25,D6_2f_rvo_M60,B126_35_2d,110.91,34.8,3.187,1.828,2.913,24,67.10628394103956
A6_2f_oca_G60M25,D2_2f_oar_V40G40,KP_MA150_5d,101.06,31.72,3.186,1.813,2.844,15,56.788207913110945
A6_2f_oca_G60M25,D1_3f_rog_M60S7,B126_40_3d,112.12,35.19,3.186,1.884,3.028,19,57.56400310318076
A7_2f_roc_G55M25,D4_3f_rog_M60S5,B126_30_4d,99.91,31.37,3.185,1.723,2.69,17,73.23506594259116
A4_3f_roo_G60M30,D4_3f_rog_M60S5,KP_MA250_4d,106.0,33.29,3.184,1.82,2.887,15,48.021722265321955
A3_3f_rog_G60M25,D7_3f_rog_E7S7,KP_MA250_4d,109.25,34.35,3.18,1.919,2.975,15,48.021722265321955
A2_3f_rog_G65M30,D3_3f_roo_M60S7,KP_MA120_5d,109.26,34.36,3.18,1.872,3.006,15,57.79674166020171
A2_3f_rog_G65M30,D4_3f_rog_M60S5,B126_40_2d,105.65,33.23,3.179,1.818,2.874,30,57.176105508145845
