v,q,g,m,g_rev,mom,calmar,cagr,mdd,sharpe,sortino
5,10,45,40,0.3,6m-1m,1.498,62.24,41.54,1.367,2.104
5,15,30,50,0.7,12m-1m,1.498,56.77,37.89,1.318,1.921
10,15,35,40,0.9,12m,1.497,59.32,39.63,1.313,1.973
15,15,30,40,0.6,6m-1m,1.496,54.53,36.46,1.282,1.935
15,0,45,40,0.8,12m,1.495,61.24,40.95,1.357,2.054
10,15,25,50,0.3,12m,1.495,56.92,38.07,1.325,1.914
10,15,30,45,0.3,6m-1m,1.494,58.38,39.07,1.356,2.029
15,10,30,45,0.7,12m,1.494,56.16,37.58,1.291,1.828
20,0,35,45,0.3,12m,1.493,60.28,40.36,1.35,1.917
15,20,15,50,0.6,6m,1.492,52.13,34.94,1.26,1.781
15,10,25,50,0.8,6m-1m,1.492,60.99,40.89,1.381,1.976
15,30,15,40,0.7,12m,1.492,49.14,32.94,1.217,1.774
20,20,10,50,1.0,6m,1.492,45.24,30.32,1.152,1.62
5,20,25,50,0.3,6m-1m,1.491,54.12,36.3,1.302,1.875
10,15,35,40,0.4,6m-1m,1.491,58.02,38.91,1.313,1.96
0,25,15,60,0.7,6m-1m,1.49,46.27,31.05,1.172,1.694
20,0,40,40,0.4,12m,1.489,60.56,40.68,1.355,2.035
5,5,55,35,0.6,6m-1m,1.489,69.89,46.93,1.464,2.222
25,0,45,30,0.3,12m,1.489,54.9,36.87,1.268,1.89
5,5,45,45,0.6,12m,1.488,66.08,44.4,1.395,2.107
15,10,35,40,0.6,12m,1.487,57.41,38.61,1.299,1.941
5,25,25,45,0.7,6m-1m,1.487,51.54,34.67,1.242,1.836
5,0,50,45,0.3,12m,1.486,67.53,45.45,1.435,2.229
10,10,25,55,1.0,6m,1.484,50.0,33.68,1.193,1.634
20,25,10,45,0.7,6m,1.484,44.95,30.3,1.141,1.595
15,5,40,40,0.7,12m,1.484,63.37,42.71,1.384,2.05
5,25,25,45,0.8,6m-1m,1.484,49.92,33.63,1.21,1.795
15,25,15,45,0.7,12m,1.483,58.15,39.2,1.357,1.95
15,0,40,45,0.3,12m,1.483,65.77,44.34,1.434,2.137
5,0,50,45,1.0,12m-1m,1.483,59.8,40.34,1.332,2.003
5,30,15,50,0.3,12m,1.482,54.56,36.83,1.304,1.953
20,5,20,55,0.9,6m-1m,1.481,54.79,37.0,1.303,1.797
15,15,25,45,0.3,6m-1m,1.48,53.07,35.87,1.283,1.874
15,20,15,50,1.0,6m-1m,1.48,53.64,36.24,1.286,1.839
10,20,15,55,0.8,6m,1.48,56.83,38.4,1.332,1.876
15,25,10,50,0.3,12m,1.48,51.22,34.61,1.265,1.749
0,0,60,40,0.3,12m,1.479,71.18,48.12,1.459,2.317
5,20,20,55,0.5,6m,1.478,50.06,33.87,1.212,1.731
5,25,15,55,0.3,6m-1m,1.478,51.53,34.86,1.264,1.854
0,15,50,35,0.8,6m-1m,1.477,61.27,41.47,1.334,2.047
5,30,15,50,0.8,6m,1.477,48.06,32.54,1.193,1.787
15,10,25,50,0.9,12m-1m,1.476,49.31,33.41,1.225,1.696
20,10,25,45,0.5,12m,1.476,52.43,35.51,1.261,1.775
5,10,35,50,0.4,12m-1m,1.475,63.71,43.2,1.412,2.136
15,10,25,50,0.5,6m,1.474,55.61,37.72,1.283,1.798
