v,q,g,m,mom,calmar,cagr,mdd,sharpe,sortino
20,5,50,25,12m-1m,1.53,63.22,41.32,1.396,2.06
5,30,15,50,12m-1m,1.529,47.11,30.82,1.186,1.721
0,30,15,55,12m-1m,1.528,49.22,32.21,1.222,1.814
20,10,45,25,12m-1m,1.527,60.62,39.71,1.366,1.988
15,0,60,25,12m,1.524,64.25,42.15,1.413,2.201
20,10,25,45,6m-1m,1.524,48.5,31.81,1.235,1.749
10,10,60,20,12m-1m,1.523,56.01,36.77,1.277,2.014
15,15,50,20,12m,1.522,53.96,35.46,1.251,1.884
10,20,45,25,12m,1.522,57.75,37.94,1.31,2.059
20,15,45,20,6m,1.521,50.16,32.98,1.198,1.797
0,20,50,30,12m-1m,1.519,57.36,37.76,1.29,2.001
0,25,25,50,12m-1m,1.519,53.73,35.38,1.286,1.916
25,5,60,10,12m-1m,1.518,52.18,34.37,1.249,1.896
5,10,45,40,12m,1.517,59.85,39.45,1.349,2.087
10,20,25,45,12m-1m,1.516,51.01,33.66,1.25,1.845
10,0,65,25,12m,1.515,68.61,45.3,1.453,2.311
10,10,30,50,6m-1m,1.514,53.12,35.09,1.284,1.867
15,20,30,35,12m,1.514,52.82,34.89,1.257,1.79
0,5,70,25,12m-1m,1.513,70.82,46.81,1.478,2.326
0,15,50,35,6m,1.513,69.27,45.77,1.472,2.303
0,0,70,30,6m-1m,1.513,67.59,44.68,1.443,2.288
30,5,15,50,6m-1m,1.512,47.6,31.48,1.231,1.757
30,5,30,35,6m-1m,1.512,41.4,27.38,1.12,1.593
10,15,35,40,6m-1m,1.511,56.49,37.4,1.293,1.878
15,10,50,25,12m-1m,1.51,59.26,39.23,1.345,2.062
20,10,35,35,6m-1m,1.51,48.03,31.81,1.176,1.699
25,10,50,15,12m,1.509,49.99,33.13,1.22,1.793
10,15,45,30,6m,1.509,62.86,41.65,1.381,2.054
15,5,50,30,12m,1.508,67.68,44.87,1.446,2.167
5,30,15,50,12m,1.507,52.43,34.79,1.285,1.876
15,0,50,35,12m,1.506,63.73,42.33,1.401,2.143
10,10,55,25,12m,1.504,59.29,39.43,1.315,2.058
15,10,30,45,6m-1m,1.503,52.98,35.25,1.292,1.89
5,5,35,55,6m-1m,1.503,54.79,36.46,1.299,1.939
10,20,40,30,6m,1.502,59.24,39.43,1.33,1.989
10,35,15,40,12m,1.502,48.85,32.53,1.232,1.822
25,0,55,20,12m-1m,1.501,57.89,38.57,1.343,2.039
20,10,30,40,6m,1.501,52.19,34.76,1.244,1.796
5,10,70,15,12m-1m,1.5,62.83,41.9,1.365,2.208
10,10,35,45,12m,1.5,50.59,33.72,1.22,1.769
0,15,55,30,12m-1m,1.5,56.29,37.53,1.273,1.962
25,5,30,40,12m-1m,1.498,41.54,27.73,1.12,1.599
5,15,55,25,12m-1m,1.497,59.32,39.62,1.319,2.078
25,5,30,40,12m,1.497,41.31,27.59,1.094,1.59
10,20,40,30,12m,1.496,54.9,36.7,1.26,1.927
0,35,25,40,12m,1.495,50.73,33.93,1.206,1.836
25,0,50,25,6m,1.495,56.65,37.89,1.325,1.982
15,5,45,35,12m,1.493,65.57,43.93,1.43,2.161
15,20,25,40,12m-1m,1.492,51.18,34.31,1.26,1.801
10,10,35,45,6m-1m,1.491,50.71,34.0,1.235,1.817
0,5,65,30,12m,1.49,65.3,43.82,1.407,2.197
20,15,30,35,12m-1m,1.49,50.68,34.02,1.25,1.78
5,25,35,35,12m,1.49,55.61,37.33,1.264,1.945
20,15,40,25,12m,1.489,55.46,37.25,1.282,1.856
0,30,25,45,6m-1m,1.489,48.55,32.61,1.194,1.816
25,0,40,35,12m,1.487,54.14,36.42,1.283,1.88
0,20,25,55,6m,1.487,54.88,36.9,1.302,1.9
10,10,45,35,12m-1m,1.486,55.91,37.61,1.305,1.959
25,5,30,40,6m,1.485,50.01,33.67,1.22,1.821
30,5,30,35,12m-1m,1.484,44.83,30.22,1.176,1.776
20,15,35,30,12m-1m,1.484,57.0,38.4,1.326,1.928
0,10,55,35,12m,1.484,61.9,41.7,1.367,2.135
15,15,35,35,12m-1m,1.481,53.08,35.83,1.258,1.85
15,20,25,40,12m,1.481,53.69,36.25,1.304,1.864
0,20,60,20,12m,1.48,57.73,39.0,1.3,2.034
10,0,60,30,12m,1.479,73.03,49.38,1.52,2.378
20,5,50,25,6m,1.479,53.04,35.85,1.251,1.836
25,5,25,45,6m-1m,1.478,44.99,30.44,1.166,1.681
5,20,50,25,6m,1.477,57.23,38.74,1.295,1.989
25,5,45,25,6m,1.477,50.59,34.26,1.235,1.828
10,30,15,45,12m,1.476,46.38,31.42,1.191,1.726
30,0,20,50,6m-1m,1.476,48.07,32.56,1.235,1.824
0,15,65,20,12m-1m,1.476,55.64,37.7,1.268,2.033
25,10,20,45,12m-1m,1.476,46.51,31.52,1.221,1.719
30,5,20,45,6m-1m,1.475,51.19,34.71,1.284,1.852
5,5,30,60,6m-1m,1.474,53.12,36.04,1.285,1.86
10,15,20,55,6m-1m,1.474,46.1,31.27,1.182,1.664
10,20,35,35,12m-1m,1.473,56.07,38.06,1.288,1.943
15,5,35,45,12m,1.473,47.99,32.58,1.188,1.733
20,0,50,30,6m,1.472,56.26,38.23,1.3,1.943
10,15,50,25,12m,1.472,56.29,38.25,1.277,1.986
5,10,55,30,12m-1m,1.472,58.92,40.01,1.325,2.041
0,25,40,35,12m-1m,1.471,59.49,40.44,1.311,2.042
25,10,40,25,12m-1m,1.468,50.68,34.53,1.233,1.828
0,20,20,60,6m,1.468,55.48,37.79,1.319,1.928
0,30,25,45,12m,1.468,53.08,36.16,1.266,1.919
5,5,70,20,12m,1.467,64.18,43.75,1.372,2.215
25,10,50,15,12m-1m,1.465,44.84,30.6,1.131,1.678
30,0,45,25,12m,1.465,45.7,31.2,1.159,1.761
25,10,45,20,12m,1.465,50.53,34.48,1.223,1.797
0,20,50,30,6m-1m,1.463,57.28,39.15,1.301,1.991
25,15,15,45,12m-1m,1.462,44.53,30.47,1.185,1.713
10,0,70,20,6m-1m,1.461,63.97,43.8,1.392,2.187
5,25,25,45,12m-1m,1.459,49.17,33.71,1.211,1.823
5,25,15,55,6m-1m,1.458,48.94,33.58,1.23,1.742
0,30,30,40,12m-1m,1.458,55.31,37.93,1.279,1.949
0,30,40,30,12m,1.457,53.5,36.72,1.227,1.883
0,15,35,50,12m,1.457,59.48,40.82,1.348,2.059
10,15,40,35,12m,1.457,61.32,42.09,1.365,2.04
5,5,70,20,6m-1m,1.456,58.96,40.48,1.315,2.084
20,0,65,15,6m,1.456,66.85,45.92,1.439,2.255
5,5,60,30,12m,1.456,68.88,47.3,1.46,2.274
5,25,35,35,12m-1m,1.455,53.61,36.85,1.243,1.863
15,20,35,30,12m-1m,1.454,46.56,32.01,1.144,1.664
5,10,25,60,12m-1m,1.453,50.44,34.71,1.23,1.786
0,30,35,35,12m-1m,1.453,54.18,37.29,1.256,1.923
15,5,70,10,12m,1.451,56.83,39.17,1.289,2.026
5,25,20,50,6m-1m,1.451,48.12,33.15,1.211,1.748
15,5,70,10,6m-1m,1.449,55.19,38.08,1.263,1.987
15,5,40,40,12m-1m,1.448,51.18,35.35,1.234,1.801
20,15,40,25,12m-1m,1.448,54.45,37.61,1.281,1.853
0,10,55,35,12m-1m,1.448,55.65,38.42,1.268,1.963
5,15,35,45,6m-1m,1.448,52.6,36.33,1.243,1.852
