gs1,gs2,gr,v,q,g,m,mom,cagr,mdd,cal,sh,sort
rev_z,rev_accel_z,1.0,10,10,20,60,12m,14.42,52.3,0.276,0.54,0.632
rev_z,rev_accel_z,1.0,10,10,20,60,12m-1m,-5.59,60.23,-0.093,0.153,0.145
rev_z,rev_accel_z,1.0,15,10,20,55,6m,-13.13,84.36,-0.156,0.134,0.122
rev_z,rev_accel_z,1.0,15,10,20,55,6m-1m,10.52,66.57,0.158,0.547,0.497
rev_z,rev_accel_z,1.0,15,10,20,55,12m,-15.07,81.97,-0.184,0.288,0.261
rev_z,rev_accel_z,1.0,15,10,20,55,12m-1m,0.36,67.39,0.005,0.384,0.335
rev_z,rev_accel_z,1.0,10,5,25,60,6m,-8.81,84.07,-0.105,0.223,0.207
rev_z,rev_accel_z,1.0,10,5,25,60,6m-1m,5.3,71.92,0.074,0.477,0.435
rev_z,rev_accel_z,1.0,10,5,25,60,12m,5.7,75.36,0.076,0.548,0.527
rev_z,rev_accel_z,1.0,10,5,25,60,12m-1m,7.03,58.65,0.12,0.426,0.411
rev_z,rev_accel_z,1.0,20,10,15,55,6m,-3.22,77.82,-0.041,0.298,0.272
rev_z,rev_accel_z,1.0,20,10,15,55,6m-1m,3.76,67.91,0.055,0.426,0.38
rev_z,rev_accel_z,1.0,20,10,15,55,12m,-26.05,82.91,-0.314,-0.055,-0.046
rev_z,rev_accel_z,1.0,20,10,15,55,12m-1m,0.59,65.55,0.009,0.387,0.334
rev_z,rev_accel_z,1.0,25,25,25,25,6m,-35.94,73.66,-0.488,-0.544,-0.496
rev_z,rev_accel_z,1.0,25,25,25,25,6m-1m,-31.96,72.41,-0.441,-0.424,-0.395
rev_z,rev_accel_z,1.0,25,25,25,25,12m,-22.19,68.1,-0.326,-0.145,-0.138
rev_z,rev_accel_z,1.0,25,25,25,25,12m-1m,-35.22,75.19,-0.468,-0.485,-0.453
rev_z,rev_accel_z,1.0,20,20,30,30,6m,-28.71,69.32,-0.414,-0.322,-0.303
rev_z,rev_accel_z,1.0,20,20,30,30,6m-1m,-29.4,68.17,-0.431,-0.355,-0.327
rev_z,rev_accel_z,1.0,20,20,30,30,12m,-15.84,66.62,-0.238,0.006,0.006
rev_z,rev_accel_z,1.0,20,20,30,30,12m-1m,-32.56,72.75,-0.448,-0.398,-0.383
rev_z,rev_accel_z,1.0,20,20,20,40,6m,-22.72,77.34,-0.294,-0.19,-0.177
rev_z,rev_accel_z,1.0,20,20,20,40,6m-1m,-13.8,60.93,-0.226,-0.01,-0.01
rev_z,rev_accel_z,1.0,20,20,20,40,12m,-0.61,67.78,-0.009,0.367,0.324
rev_z,rev_accel_z,1.0,20,20,20,40,12m-1m,-9.75,65.54,-0.149,0.197,0.172
rev_z,rev_accel_z,1.0,30,5,50,15,6m,-27.64,64.93,-0.426,-0.4,-0.412
rev_z,rev_accel_z,1.0,30,5,50,15,6m-1m,-24.7,66.77,-0.37,-0.335,-0.354
rev_z,rev_accel_z,1.0,30,5,50,15,12m,-20.56,58.7,-0.35,-0.231,-0.241
rev_z,rev_accel_z,1.0,30,5,50,15,12m-1m,-24.57,64.5,-0.381,-0.327,-0.34
rev_z,rev_accel_z,1.0,5,30,15,50,6m,-25.97,71.33,-0.364,-0.367,-0.355
rev_z,rev_accel_z,1.0,5,30,15,50,6m-1m,-9.53,66.03,-0.144,0.051,0.049
rev_z,rev_accel_z,1.0,5,30,15,50,12m,2.11,59.49,0.035,0.367,0.34
rev_z,rev_accel_z,1.0,5,30,15,50,12m-1m,-7.87,63.87,-0.123,0.153,0.144
rev_z,rev_accel_z,1.0,15,15,45,25,6m,-27.99,68.07,-0.411,-0.296,-0.288
rev_z,rev_accel_z,1.0,15,15,45,25,6m-1m,-35.08,76.64,-0.458,-0.432,-0.406
rev_z,rev_accel_z,1.0,15,15,45,25,12m,-39.02,75.28,-0.518,-0.593,-0.584
rev_z,rev_accel_z,1.0,15,15,45,25,12m-1m,-39.17,74.21,-0.528,-0.603,-0.591
