defense,offense,rule,approx_cal,calmar,cagr,mdd,sharpe,sortino,boost
V20Q5G30M45 g0.5 6m-1m,V25Q0G55M20 g0.3 12m,B126_40_7d,5.365353152947499,5.353,144.71,27.03,2.164,3.682,59.20745920745921
V20Q15G15M50 g0.9 6m-1m,V25Q0G50M25 g0.3 12m-1m,B126_40_1d,5.45763382618673,5.343,133.04,24.9,2.158,3.337,59.20745920745921
V20Q10G20M50 g0.6 6m-1m,V25Q0G50M25 g0.3 12m-1m,B126_40_1d,5.746051991667963,5.335,141.02,26.43,2.18,3.373,59.20745920745921
V20Q10G20M50 g0.6 6m-1m,V25Q0G50M25 g0.3 12m-1m,KK60_3d,5.51159349018546,5.333,137.66,25.81,2.216,3.494,50.893550893550895
V20Q15G25M40 g0.6 6m-1m,V25Q0G55M20 g0.3 12m,B126_40_7d,5.362433123902943,5.33,134.65,25.26,2.071,3.524,59.20745920745921
V20Q10G20M50 g0.6 6m-1m,V25Q0G55M20 g0.3 12m,B126_40_1d+VIX25_1d,6.136421473411958,5.32,147.48,27.72,2.202,3.519,55.011655011655016
V20Q10G20M50 g0.6 6m-1m,V25Q0G50M25 g0.3 12m-1m,KP120_3d,5.474377027888028,5.314,144.64,27.22,2.256,3.579,57.88655788655789
V20Q15G25M40 g0.6 6m-1m,V25Q0G50M25 g0.3 12m-1m,B126_40_7d,5.381868444834308,5.303,137.53,25.93,2.136,3.419,59.20745920745921
V20Q5G30M45 g0.5 6m-1m,V25Q0G50M25 g0.3 12m-1m,B126_40_5d,5.54341817721505,5.3,151.2,28.53,2.269,3.589,59.44055944055944
V20Q5G30M45 g0.5 6m-1m,V25Q0G50M25 g0.3 12m-1m,B126_40_1d+VIX25_1d,5.590466909640698,5.299,144.19,27.21,2.224,3.427,55.011655011655016
V25Q10G15M50 g0.4 6m-1m,V25Q0G50M25 g0.3 12m-1m,KP120_3d+VIX25_1d,5.422455369906964,5.295,143.84,27.16,2.265,3.615,55.16705516705517
V20Q10G20M50 g0.6 6m-1m,V25Q0G50M25 g0.3 12m-1m,KK120_5d,5.368750648235021,5.293,136.64,25.81,2.21,3.5,50.038850038850036
V20Q15G25M40 g0.6 6m-1m,V25Q0G50M25 g0.3 12m-1m,B126_40_1d,5.312835586211428,5.286,132.76,25.11,2.099,3.249,59.20745920745921
V20Q10G20M50 g0.6 6m-1m,V25Q0G55M20 g0.3 12m,KP120_5d,5.329845152724061,5.283,143.02,27.07,2.198,3.663,57.73115773115774
V20Q10G20M50 g0.6 6m-1m,V25Q0G50M25 g0.3 12m-1m,KK60_3d+HY5_1d,5.46145365852519,5.271,136.07,25.81,2.202,3.465,50.505050505050505
V20Q10G20M50 g0.6 6m-1m,V25Q0G50M25 g0.3 12m-1m,B126_40_1d+HY5_1d,5.656864463532893,5.271,139.31,26.43,2.167,3.342,58.58585858585859
V20Q15G25M40 g0.6 6m-1m,V25Q0G50M25 g0.3 12m-1m,KP120_3d+VIX25_1d,5.2628738925685905,5.262,140.51,26.7,2.214,3.579,55.16705516705517
V5Q25G15M55 g0.7 6m,V25Q0G50M25 g0.3 12m-1m,B126_35_3d,5.490064450022856,5.257,147.01,27.96,2.206,3.431,67.9098679098679
