v,q,g,m,mom,entry,exit,slots,sl,trail,corr_th,calmar,cagr,mdd,sharpe,sortino,avg_holdings
20,5,25,50,6m-1m,5,8,7,-0.12,-0.15,,2.179,67.7,31.07,1.523,2.222,5.2
20,5,35,40,12m,5,8,7,-0.1,-0.2,,2.177,72.23,33.18,1.558,2.339,5.3
20,5,35,40,12m,5,8,7,-0.1,-0.2,0.65,2.177,72.23,33.18,1.558,2.339,5.3
20,5,35,40,12m,5,8,7,-0.1,-0.2,0.6,2.177,72.23,33.18,1.558,2.339,5.3
20,10,20,50,6m-1m,5,8,7,,-0.2,,2.176,57.77,26.55,1.366,1.912,5.3
20,10,20,50,6m-1m,5,8,7,,-0.2,0.65,2.176,57.77,26.55,1.366,1.912,5.3
20,10,20,50,6m-1m,5,8,7,,-0.2,0.6,2.176,57.77,26.55,1.366,1.912,5.3
15,10,35,40,12m,5,8,5,,-0.15,,2.174,81.53,37.49,1.654,2.533,4.8
15,10,35,40,12m,5,8,5,,-0.15,0.65,2.174,81.53,37.49,1.654,2.533,4.8
15,10,35,40,12m,5,8,5,,-0.15,0.6,2.174,81.53,37.49,1.654,2.533,4.8
15,10,35,40,12m,5,8,5,-0.12,,,2.174,81.14,37.32,1.648,2.497,4.8
15,10,35,40,12m,5,8,5,-0.12,,0.65,2.174,81.14,37.32,1.648,2.497,4.8
15,10,35,40,12m,5,8,5,-0.12,,0.6,2.174,81.14,37.32,1.648,2.497,4.8
15,10,30,45,12m-1m,5,8,7,,-0.2,0.65,2.168,67.96,31.35,1.513,2.271,5.2
15,10,30,45,12m-1m,5,8,7,,-0.2,0.6,2.168,67.96,31.35,1.513,2.271,5.2
15,10,30,45,12m-1m,5,8,7,,-0.2,,2.168,67.96,31.35,1.513,2.271,5.2
15,10,25,50,6m-1m,5,8,7,,,0.6,2.165,65.25,30.14,1.489,2.126,5.3
15,10,25,50,6m-1m,5,8,7,,,0.65,2.165,65.25,30.14,1.489,2.126,5.3
15,10,25,50,6m-1m,5,8,7,,,,2.165,65.25,30.14,1.489,2.126,5.3
15,10,25,50,6m-1m,5,8,5,-0.1,,0.6,2.163,72.45,33.5,1.573,2.266,4.8
15,10,25,50,6m-1m,5,8,5,-0.1,,0.65,2.163,72.45,33.5,1.573,2.266,4.8
15,10,25,50,6m-1m,5,8,5,-0.1,,,2.163,72.45,33.5,1.573,2.266,4.8
20,15,25,40,12m-1m,5,8,5,,,0.6,2.162,71.28,32.97,1.571,2.366,4.8
20,15,25,40,12m-1m,5,8,5,,,0.65,2.162,71.28,32.97,1.571,2.366,4.8
20,15,25,40,12m-1m,5,8,5,,,,2.162,71.28,32.97,1.571,2.366,4.8
20,10,20,50,6m-1m,5,8,5,-0.12,,0.6,2.157,60.65,28.12,1.388,1.94,4.8
20,10,20,50,6m-1m,5,8,5,-0.12,,,2.157,60.65,28.12,1.388,1.94,4.8
20,10,20,50,6m-1m,5,8,5,-0.12,,0.65,2.157,60.65,28.12,1.388,1.94,4.8
15,10,30,45,12m-1m,5,8,7,,-0.15,,2.155,67.55,31.35,1.495,2.202,5.1
15,10,30,45,12m-1m,5,8,7,-0.12,-0.15,0.65,2.155,67.54,31.35,1.495,2.204,5.1
15,10,30,45,12m-1m,5,8,7,,-0.15,0.65,2.155,67.55,31.35,1.495,2.202,5.1
15,10,30,45,12m-1m,5,8,7,,-0.15,0.6,2.155,67.55,31.35,1.495,2.202,5.1
15,10,30,45,12m-1m,5,8,7,-0.12,-0.15,,2.155,67.54,31.35,1.495,2.204,5.1
15,10,30,45,12m-1m,5,8,7,-0.12,-0.15,0.6,2.155,67.54,31.35,1.495,2.204,5.1
15,10,25,50,6m-1m,5,8,5,-0.08,-0.2,0.65,2.153,72.07,33.48,1.564,2.258,4.8
15,10,25,50,6m-1m,5,8,7,-0.1,-0.2,0.6,2.153,66.23,30.76,1.501,2.152,5.2
15,10,25,50,6m-1m,5,8,7,-0.1,-0.2,,2.153,66.23,30.76,1.501,2.152,5.2
15,10,25,50,6m-1m,5,8,5,-0.08,-0.2,,2.153,72.07,33.48,1.564,2.258,4.8
15,10,25,50,6m-1m,5,8,5,-0.08,-0.2,0.6,2.153,72.07,33.48,1.564,2.258,4.8
15,10,25,50,6m-1m,5,8,7,-0.1,-0.2,0.65,2.153,66.23,30.76,1.501,2.152,5.2
20,5,25,50,6m-1m,5,8,5,-0.08,-0.15,,2.151,67.65,31.44,1.498,2.178,4.7
20,5,25,50,6m-1m,5,8,5,-0.08,-0.15,0.65,2.151,67.65,31.44,1.498,2.178,4.7
20,5,25,50,6m-1m,5,8,5,-0.08,-0.15,0.6,2.151,67.65,31.44,1.498,2.178,4.7
20,15,25,40,12m-1m,5,8,7,-0.12,-0.15,0.6,2.15,66.25,30.81,1.513,2.259,5.3
20,15,25,40,12m-1m,5,8,7,-0.12,-0.15,0.65,2.15,66.25,30.81,1.513,2.259,5.3
20,15,25,40,12m-1m,5,8,7,-0.12,-0.15,,2.15,66.25,30.81,1.513,2.259,5.3
20,5,35,40,12m,5,8,7,-0.12,-0.2,0.65,2.146,70.0,32.62,1.528,2.295,5.3
20,5,35,40,12m,5,8,7,-0.12,-0.2,,2.146,70.0,32.62,1.528,2.295,5.3
20,5,35,40,12m,5,8,7,-0.12,-0.2,0.6,2.146,70.0,32.62,1.528,2.295,5.3
15,10,25,50,6m-1m,5,15,7,-0.12,-0.15,0.6,2.146,64.51,30.07,1.519,2.141,6.2
15,10,25,50,6m-1m,5,15,7,-0.12,-0.15,0.65,2.146,64.51,30.07,1.519,2.141,6.2
15,10,25,50,6m-1m,5,15,7,-0.12,-0.15,,2.146,64.51,30.07,1.519,2.141,6.2
20,10,20,50,6m-1m,5,8,7,-0.1,-0.2,0.6,2.145,58.05,27.06,1.364,1.902,5.2
20,10,20,50,6m-1m,5,8,7,-0.1,-0.2,0.65,2.145,58.05,27.06,1.364,1.902,5.2
20,10,20,50,6m-1m,5,8,7,-0.1,-0.2,,2.145,58.05,27.06,1.364,1.902,5.2
15,5,30,50,6m-1m,5,8,7,,-0.2,0.65,2.139,71.31,33.34,1.573,2.271,5.3
20,5,35,40,12m,5,8,7,-0.1,,,2.139,70.97,33.18,1.541,2.312,5.3
20,5,35,40,12m,5,8,7,-0.1,,0.65,2.139,70.97,33.18,1.541,2.312,5.3
20,5,35,40,12m,5,8,7,-0.1,,0.6,2.139,70.97,33.18,1.541,2.312,5.3
15,5,30,50,6m-1m,5,8,7,,-0.2,,2.139,71.31,33.34,1.573,2.271,5.3
15,5,30,50,6m-1m,5,8,7,,-0.2,0.6,2.139,71.31,33.34,1.573,2.271,5.3
20,15,25,40,12m-1m,5,8,5,-0.12,,0.6,2.135,70.39,32.97,1.555,2.341,4.8
20,15,25,40,12m-1m,5,8,5,-0.12,,0.65,2.135,70.39,32.97,1.555,2.341,4.8
20,15,25,40,12m-1m,5,8,5,-0.12,,,2.135,70.39,32.97,1.555,2.341,4.8
15,10,25,50,6m-1m,5,8,5,-0.1,-0.2,0.6,2.134,71.45,33.48,1.558,2.246,4.8
15,10,25,50,6m-1m,5,8,5,-0.1,-0.2,0.65,2.134,71.45,33.48,1.558,2.246,4.8
15,10,25,50,6m-1m,5,8,5,-0.1,-0.2,,2.134,71.45,33.48,1.558,2.246,4.8
20,15,25,40,12m-1m,5,8,7,-0.08,-0.15,,2.133,65.7,30.81,1.504,2.246,5.2
20,15,25,40,12m-1m,5,8,7,-0.08,-0.15,0.6,2.133,65.7,30.81,1.504,2.246,5.2
15,10,35,40,12m,5,8,5,,-0.2,0.6,2.133,84.39,39.56,1.688,2.573,4.8
20,15,25,40,12m-1m,5,8,7,-0.08,-0.15,0.65,2.133,65.7,30.81,1.504,2.246,5.2
15,10,35,40,12m,5,8,5,,-0.2,0.65,2.133,84.39,39.56,1.688,2.573,4.8
15,10,35,40,12m,5,8,5,,-0.2,,2.133,84.39,39.56,1.688,2.573,4.8
20,5,25,50,6m-1m,5,8,5,-0.1,-0.2,,2.131,65.22,30.61,1.465,2.135,4.7
20,5,25,50,6m-1m,5,8,5,-0.1,-0.2,0.6,2.131,65.22,30.61,1.465,2.135,4.7
20,5,25,50,6m-1m,5,8,5,-0.1,-0.2,0.65,2.131,65.22,30.61,1.465,2.135,4.7
20,5,35,40,12m,5,8,5,-0.12,,0.6,2.13,72.22,33.91,1.547,2.364,4.8
20,5,35,40,12m,5,8,5,-0.12,,0.65,2.13,72.22,33.91,1.547,2.364,4.8
