defense,offense,rule,boost_pct,approx_calmar,calmar,cagr,mdd,sharpe,sortino
5,4,KP_MA200_5d,53.45765345765345,4.908079857736026,2.885,112.9,39.13,2.046,3.194
12,1,KQ_MA120_1d,54.39005439005439,4.877843676541071,2.883,102.98,35.72,1.797,2.82
14,2,KK_MA60+VIX_lt25_3d,49.261849261849264,4.988436977545327,2.874,85.3,29.68,1.685,2.663
12,0,KP_MA20_7d,56.72105672105672,4.871725389227783,2.843,101.05,35.55,1.823,2.868
14,2,KK_MA60_3d,50.660450660450664,4.8155822171371225,2.81,79.99,28.47,1.617,2.522
14,2,KK_MA60+HY_lt5.0_3d,50.19425019425019,4.8242369277459245,2.806,79.9,28.47,1.617,2.522
27,0,KP_MA200_5d,53.45765345765345,4.917417075155946,2.77,102.62,37.04,1.835,2.84
12,0,KK_MA20_5d,44.83294483294483,4.769367891327684,2.652,84.07,31.7,1.649,2.521
31,0,KP_MA200_3d,54.234654234654236,4.846008204759413,2.635,113.68,43.15,1.957,3.037
17,0,KP_MA20_7d,56.72105672105672,4.7197575018899265,2.618,94.59,36.13,1.752,2.762
5,0,KP_MA200_5d,53.45765345765345,5.6211134413578305,2.617,110.48,42.22,1.919,2.945
7,0,KP_MA200_5d,53.45765345765345,5.382807907813112,2.602,107.83,41.44,1.888,2.908
5,1,KP_MA200_5d,53.45765345765345,5.256408168261978,2.6,109.76,42.22,1.903,2.933
7,1,KP_MA200_5d,53.45765345765345,5.027318703442049,2.585,107.12,41.44,1.871,2.897
7,0,KP_MA200_7d,53.3022533022533,4.897231436435502,2.551,97.01,38.02,1.758,2.71
5,0,KP_MA200_7d,53.3022533022533,5.121520112116973,2.502,99.14,39.62,1.784,2.742
5,1,KP_MA200_7d,53.3022533022533,4.777807143371247,2.485,98.45,39.62,1.769,2.731
12,2,KK_MA60+VIX_lt25_1d,46.23154623154623,4.840531422185401,2.461,79.71,32.38,1.619,2.564
14,0,KP_MA200_7d,53.3022533022533,4.984854254377089,2.387,96.3,40.35,1.751,2.696
5,0,KP_MA200_3d,54.234654234654236,4.834624031794347,2.363,105.27,44.56,1.873,2.898
12,2,KK_MA60_1d,48.717948717948715,4.769870218523125,2.346,75.98,32.38,1.562,2.404
5,2,KK_MA60+VIX_lt25_1d,46.23154623154623,4.829482214048953,2.337,85.33,36.52,1.659,2.515
5,2,KK_MA60_1d,48.717948717948715,4.766942168940621,2.107,76.94,36.52,1.547,2.284
5,0,KK_MA20_5d,44.83294483294483,4.735480234285548,2.103,80.06,38.07,1.592,2.42
5,0,KP_MA20_5d,53.45765345765345,4.839649403750293,2.014,78.97,39.21,1.552,2.414
15,2,KK_MA60+VIX_lt25_1d,46.23154623154623,4.754649133777985,1.941,69.73,35.93,1.474,2.312
