v,q,g,m,mom,calmar,cagr,mdd,sharpe,sortino
5,35,20,40,12m,1.259,48.47,38.48,1.192,1.773
25,10,35,30,12m-1m,1.257,51.9,41.28,1.284,1.881
10,25,25,40,12m-1m,1.257,48.24,38.37,1.188,1.787
5,0,40,55,12m,1.257,51.56,41.03,1.247,1.83
20,15,10,55,12m-1m,1.256,44.32,35.27,1.18,1.611
25,0,20,55,12m-1m,1.255,46.67,37.17,1.19,1.659
5,30,15,50,12m,1.255,45.84,36.53,1.177,1.709
25,5,10,60,6m-1m,1.254,39.6,31.57,1.075,1.531
5,20,30,45,6m-1m,1.253,48.17,38.44,1.181,1.696
10,15,35,40,6m,1.252,51.21,40.92,1.22,1.779
20,20,10,50,12m-1m,1.252,39.84,31.82,1.104,1.523
0,10,30,60,12m-1m,1.25,48.47,38.79,1.195,1.724
15,25,35,25,6m-1m,1.25,44.95,35.96,1.131,1.677
