v,q,g,m,gr,mom,e,x,s,cagr,mdd,cal,sh
10,15,25,50,0.3,6m-1m,5,7,7,66.78,35.95,1.858,1.501
25,10,20,45,0.3,6m-1m,4,9,7,56.77,30.55,1.858,1.348
15,10,25,50,0.5,6m-1m,4,9,4,68.39,36.97,1.85,1.446
20,10,20,50,0.6,6m-1m,4,7,7,70.11,37.91,1.849,1.502
15,5,25,55,0.7,6m-1m,5,8,5,64.07,34.81,1.841,1.442
20,10,20,50,0.6,6m-1m,4,8,5,65.8,35.76,1.84,1.447
20,15,25,40,0.4,6m,6,7,5,69.98,38.03,1.84,1.516
15,5,25,55,0.7,6m-1m,6,9,7,59.6,32.4,1.839,1.433
15,10,25,50,0.7,6m-1m,5,8,4,70.58,38.44,1.836,1.488
10,15,25,50,0.3,6m-1m,4,9,6,62.81,34.22,1.835,1.412
20,5,25,50,0.5,6m-1m,5,8,4,77.07,42.04,1.833,1.567
20,5,25,50,0.5,6m-1m,5,8,5,72.27,39.42,1.833,1.562
20,10,20,50,0.6,6m-1m,4,7,6,69.3,37.91,1.828,1.49
15,10,25,50,0.5,6m-1m,5,9,4,70.57,38.65,1.826,1.494
20,5,25,50,0.5,6m-1m,6,8,4,72.58,39.83,1.822,1.508
10,15,25,50,0.3,6m-1m,4,7,5,69.37,38.09,1.821,1.466
15,10,25,50,0.7,6m-1m,4,7,5,59.81,32.9,1.818,1.349
15,5,30,50,0.6,6m-1m,6,8,7,62.54,34.45,1.815,1.464
15,10,25,50,0.7,6m-1m,6,7,4,68.93,38.04,1.812,1.464
25,10,20,45,0.4,6m-1m,6,7,6,69.09,38.19,1.809,1.549
20,5,25,50,0.6,6m-1m,5,9,5,70.17,38.79,1.809,1.547
15,10,25,50,0.6,6m-1m,5,9,4,67.12,37.11,1.809,1.434
25,10,20,45,0.3,6m-1m,4,9,6,55.24,30.55,1.808,1.318
15,10,25,50,0.6,6m-1m,6,8,5,75.42,41.74,1.807,1.607
20,10,20,50,0.6,6m-1m,4,9,4,62.66,34.72,1.804,1.381
15,10,25,50,0.5,6m-1m,6,8,5,76.66,42.55,1.802,1.618
20,15,25,40,0.4,6m,4,7,5,65.61,36.42,1.801,1.392
15,10,25,50,0.6,6m-1m,4,9,4,66.43,36.93,1.799,1.403
25,5,35,35,0.3,6m-1m,5,9,7,59.03,32.86,1.796,1.422
15,15,25,45,0.3,6m-1m,5,7,4,68.0,37.87,1.796,1.45
15,10,25,50,0.7,6m-1m,6,8,5,70.82,39.44,1.796,1.548
20,5,25,50,0.5,6m-1m,6,8,7,58.97,32.88,1.794,1.399
10,15,25,50,0.3,6m-1m,4,9,7,61.29,34.16,1.794,1.387
20,10,20,50,0.6,6m-1m,4,8,7,65.29,36.42,1.793,1.449
10,15,25,50,0.3,6m-1m,4,9,5,59.22,33.08,1.79,1.347
10,15,25,50,0.3,6m-1m,5,7,6,63.7,35.64,1.787,1.456
15,15,25,45,0.3,6m-1m,6,8,7,63.63,35.73,1.781,1.486
15,10,25,50,0.7,6m-1m,6,9,4,67.79,38.16,1.777,1.438
15,10,25,50,0.5,6m-1m,6,9,4,68.08,38.38,1.774,1.461
10,15,25,50,0.3,6m-1m,6,9,5,58.19,32.82,1.773,1.387
15,10,25,50,0.5,6m-1m,6,8,4,70.69,39.91,1.771,1.489
15,15,25,45,0.3,6m-1m,6,7,4,65.26,36.86,1.77,1.427
20,10,20,50,0.6,6m-1m,4,8,6,64.22,36.42,1.764,1.433
15,10,25,50,0.6,6m-1m,6,7,5,77.05,43.74,1.761,1.632
10,15,25,50,0.3,6m-1m,5,9,5,57.65,32.76,1.76,1.36
25,10,25,40,0.4,6m,6,8,5,57.39,32.68,1.756,1.332
15,5,30,50,0.6,6m-1m,4,9,5,65.17,37.13,1.755,1.423
15,5,30,50,0.6,6m-1m,6,7,5,71.48,40.8,1.752,1.533
20,5,25,50,0.6,6m-1m,4,9,4,71.08,40.61,1.75,1.497
20,5,25,50,0.6,6m-1m,4,9,5,69.0,39.45,1.749,1.502
25,10,20,45,0.3,6m-1m,4,9,5,51.33,29.43,1.744,1.247
25,5,35,35,0.3,6m-1m,5,9,5,63.07,36.23,1.741,1.453
20,15,25,40,0.4,6m,5,9,6,57.82,33.23,1.74,1.35
