regime,atk,def,cal,cagr,mdd,sharpe,sortino,switches
BU126_60pct_5d,V20Q0G45M35,V30Q15G25M30,1.68,76.17,45.35,0.625,3.714,20
BU126_60pct_5d,V20Q0G45M35,V30Q15G25M30,1.68,76.17,45.35,0.625,3.714,20
BS126_60pct_10d,V25Q0G40M35,V30Q15G25M30,1.672,75.81,45.35,0.626,3.719,10
BS126_60pct_10d,V25Q0G40M35,V30Q15G25M30,1.672,75.81,45.35,0.626,3.719,10
BU126_60pct_5d,V20Q0G45M35,V30Q15G25M30,1.662,76.66,46.12,0.626,3.736,20
BU126_60pct_5d,V20Q0G45M35,V30Q15G25M30,1.662,76.66,46.12,0.626,3.736,20
BS126_60pct_5d,V20Q0G45M35,V30Q15G25M30,1.659,75.24,45.35,0.623,3.721,16
BS126_60pct_5d,V20Q0G45M35,V30Q15G25M30,1.659,75.24,45.35,0.623,3.721,16
BS126_60pct_5d,V20Q0G45M35,V30Q15G25M30,1.656,75.1,45.35,0.622,3.719,16
BS126_60pct_5d,V20Q0G45M35,V30Q15G25M30,1.656,75.1,45.35,0.622,3.719,16
BS126_60pct_5d,V20Q0G45M35,V30Q15G25M30,1.655,75.06,45.35,0.622,3.713,16
BS126_60pct_5d,V20Q0G45M35,V30Q15G25M30,1.655,75.06,45.35,0.622,3.713,16
KD_MA100_10d,V25Q0G40M35,V20Q0G35M45,1.654,76.38,46.18,0.735,3.363,9
BU126_60pct_5d,V20Q0G45M35,V30Q15G25M30,1.651,76.17,46.12,0.624,3.735,20
BU126_60pct_5d,V20Q0G45M35,V30Q15G25M30,1.651,76.17,46.12,0.624,3.735,20
BS126_60pct_10d,V25Q0G40M35,V30Q15G25M30,1.648,76.01,46.12,0.625,3.73,10
BS126_60pct_10d,V25Q0G40M35,V30Q15G25M30,1.648,76.01,46.12,0.625,3.73,10
