v,q,g,m,gr,mom,e,x,s,cagr,mdd,cal,sh
15,0,60,25,0.7,12m-1m,4,9,3,105.63,42.82,2.467,1.703
20,0,55,25,0.6,12m,6,8,3,94.97,38.62,2.459,1.578
15,0,70,15,0.8,12m-1m,6,9,3,92.98,38.07,2.442,1.584
15,5,60,20,0.6,12m-1m,4,9,3,93.02,38.27,2.431,1.572
10,0,65,25,0.6,12m-1m,4,9,3,97.03,39.97,2.428,1.605
15,0,70,15,0.8,12m-1m,5,9,3,92.37,38.05,2.427,1.577
10,0,65,25,0.7,12m-1m,4,8,3,96.77,40.03,2.417,1.613
15,0,65,20,0.7,12m-1m,4,7,2,107.08,44.48,2.407,1.569
10,0,65,25,0.6,12m-1m,5,9,3,101.32,42.3,2.395,1.651
15,0,60,25,0.7,12m-1m,4,7,3,99.8,41.69,2.394,1.659
15,0,65,20,0.7,12m-1m,4,8,3,91.0,38.42,2.369,1.566
15,5,65,15,0.6,12m-1m,4,9,3,81.82,34.59,2.365,1.465
15,0,60,25,0.7,12m-1m,4,7,2,110.76,46.93,2.36,1.602
25,0,50,25,0.5,12m,4,7,4,71.76,30.43,2.358,1.446
20,5,60,15,0.6,12m,4,8,3,91.0,38.74,2.349,1.549
10,0,65,25,0.7,12m-1m,5,8,2,119.11,50.96,2.338,1.667
15,0,65,20,0.7,12m-1m,6,8,2,106.09,45.37,2.338,1.559
10,0,65,25,0.7,12m-1m,6,8,2,119.11,50.96,2.338,1.667
20,5,50,25,0.8,12m,4,7,3,96.74,41.38,2.338,1.599
25,0,50,25,0.6,12m,4,7,4,80.34,34.38,2.337,1.529
10,0,60,30,0.7,12m-1m,5,7,2,125.52,53.87,2.33,1.712
10,0,60,30,0.7,12m-1m,6,7,2,125.52,53.87,2.33,1.712
25,0,50,25,0.6,12m,5,7,4,75.38,32.37,2.328,1.496
15,5,60,20,0.6,12m-1m,6,8,2,104.56,44.99,2.324,1.538
10,0,65,25,0.7,12m-1m,5,9,2,118.11,50.96,2.318,1.662
10,0,65,25,0.7,12m-1m,6,9,2,118.11,50.96,2.318,1.662
20,5,60,15,0.6,12m,6,8,2,112.36,48.57,2.314,1.621
20,5,60,15,0.6,12m,5,8,2,112.36,48.57,2.314,1.621
20,5,50,25,0.8,12m,5,9,3,93.18,40.3,2.312,1.569
15,0,65,20,0.7,12m-1m,5,8,2,104.64,45.37,2.306,1.546
20,5,60,15,0.6,12m,4,8,2,111.55,48.57,2.297,1.614
10,0,65,25,0.7,12m-1m,4,9,3,86.44,37.77,2.289,1.506
15,0,60,25,0.7,12m-1m,6,7,2,107.25,46.93,2.285,1.572
15,0,60,25,0.7,12m-1m,5,7,2,107.25,46.93,2.285,1.572
10,0,65,25,0.6,12m-1m,4,7,3,98.19,43.0,2.283,1.629
0,0,75,25,0.4,12m,5,7,3,98.91,43.35,2.282,1.63
15,5,60,20,0.6,12m-1m,4,7,3,87.27,38.27,2.28,1.53
10,0,60,30,0.7,12m-1m,6,9,4,89.83,39.45,2.277,1.646
25,0,50,25,0.6,12m,4,8,4,75.9,33.35,2.276,1.473
15,0,60,25,0.7,12m-1m,6,8,4,91.57,40.34,2.27,1.698
10,0,60,30,0.7,12m-1m,5,9,4,89.34,39.35,2.27,1.641
20,5,60,15,0.6,12m,6,9,3,90.13,39.72,2.269,1.538
20,5,60,15,0.6,12m,5,9,2,107.5,47.42,2.267,1.587
20,5,60,15,0.6,12m,5,9,3,90.68,40.01,2.266,1.544
15,0,60,25,0.7,12m-1m,4,8,2,110.22,48.78,2.26,1.597
15,0,60,25,0.7,12m-1m,4,8,3,94.24,41.69,2.26,1.599
15,0,60,25,0.7,12m-1m,6,9,4,90.06,39.99,2.252,1.677
20,5,60,15,0.6,12m,4,9,2,106.7,47.42,2.25,1.58
10,0,60,30,0.7,12m-1m,6,7,4,89.51,39.8,2.249,1.65
20,5,60,15,0.7,12m,4,7,3,73.75,32.89,2.243,1.386
25,0,50,25,0.6,12m,6,9,3,75.57,33.79,2.237,1.405
25,0,50,25,0.6,12m,4,9,4,73.11,32.94,2.219,1.439
20,5,60,15,0.6,12m,6,9,2,104.56,47.42,2.205,1.563
20,5,50,25,0.8,12m,4,8,3,94.5,42.87,2.204,1.576
15,0,65,20,0.7,12m-1m,5,7,3,92.3,41.91,2.202,1.574
10,0,65,25,0.6,12m-1m,6,9,3,99.14,45.11,2.198,1.629
20,5,50,25,0.8,12m,6,7,4,86.65,39.44,2.197,1.611
15,0,65,20,0.7,12m-1m,6,7,3,92.0,41.91,2.195,1.571
25,0,50,25,0.5,12m,4,9,4,70.54,32.18,2.192,1.429
20,0,55,25,0.6,12m,6,9,2,102.0,46.62,2.188,1.498
20,0,55,25,0.6,12m,5,9,2,102.0,46.62,2.188,1.498
15,5,65,15,0.6,12m-1m,4,8,3,81.93,37.44,2.188,1.458
15,0,65,20,0.7,12m-1m,4,8,2,98.96,45.37,2.181,1.498
20,0,55,25,0.6,12m,4,7,3,85.78,39.39,2.178,1.496
20,0,55,25,0.6,12m,6,7,4,83.65,38.61,2.167,1.588
10,0,60,30,0.7,12m-1m,5,8,4,88.3,40.78,2.165,1.633
15,0,60,25,0.7,12m-1m,6,8,2,105.27,48.78,2.158,1.554
15,0,60,25,0.7,12m-1m,5,8,2,105.27,48.78,2.158,1.554
10,0,65,25,0.7,12m-1m,4,7,3,87.19,40.47,2.154,1.528
15,5,65,15,0.6,12m-1m,4,8,2,96.85,45.12,2.147,1.485
15,5,60,20,0.6,12m-1m,5,7,2,103.41,48.29,2.142,1.541
15,5,60,20,0.6,12m-1m,6,7,2,103.41,48.29,2.142,1.541
15,0,60,25,0.7,12m-1m,5,9,4,83.5,39.17,2.131,1.594
15,0,60,25,0.7,12m-1m,5,8,4,83.96,39.53,2.124,1.6
10,0,65,25,0.7,12m-1m,6,9,4,84.18,39.67,2.122,1.595
10,0,65,25,0.7,12m-1m,6,8,4,84.63,39.91,2.121,1.597
10,0,60,30,0.7,12m-1m,6,8,4,86.87,40.97,2.12,1.616
15,0,65,20,0.7,12m-1m,4,9,2,95.73,45.37,2.11,1.469
15,0,65,20,0.7,12m-1m,6,9,2,95.47,45.37,2.104,1.467
15,0,65,20,0.7,12m-1m,5,9,2,95.47,45.37,2.104,1.467
25,0,50,25,0.5,12m,4,8,4,67.69,32.18,2.103,1.392
20,5,50,25,0.8,12m,6,8,4,80.73,38.64,2.089,1.541
20,0,55,25,0.6,12m,6,8,4,80.64,38.61,2.089,1.548
15,5,65,15,0.6,12m-1m,6,7,3,73.44,35.23,2.084,1.395
10,0,65,25,0.7,12m-1m,5,9,4,80.14,38.55,2.079,1.55
10,0,65,25,0.7,12m-1m,5,8,4,80.5,38.79,2.075,1.555
20,5,60,15,0.7,12m,5,7,3,68.93,33.43,2.062,1.327
15,5,60,20,0.6,12m-1m,4,7,2,98.97,48.29,2.05,1.504
10,0,65,25,0.6,12m-1m,5,7,3,98.79,48.19,2.05,1.641
20,5,50,25,0.8,12m,6,9,3,90.6,44.27,2.047,1.541
20,0,55,25,0.6,12m,4,8,2,87.86,43.02,2.042,1.376
15,0,70,15,0.8,12m-1m,5,7,3,81.16,40.02,2.028,1.465
15,5,65,15,0.6,12m-1m,6,8,2,91.29,45.12,2.023,1.436
15,5,65,15,0.6,12m-1m,5,8,2,91.29,45.12,2.023,1.436
15,0,70,15,0.8,12m-1m,6,7,3,80.86,40.04,2.02,1.462
25,0,50,25,0.5,12m,6,9,4,64.85,32.15,2.017,1.377
20,5,60,15,0.7,12m,6,7,3,67.9,33.75,2.012,1.324
10,0,60,30,0.7,12m-1m,5,7,4,82.32,41.02,2.007,1.568
0,0,75,25,0.4,12m,6,7,3,89.85,44.96,1.998,1.549
15,0,70,15,0.8,12m-1m,4,8,3,80.66,40.41,1.996,1.449
15,5,65,15,0.6,12m-1m,4,8,4,76.21,38.43,1.983,1.477
10,0,60,30,0.7,12m-1m,5,8,2,111.55,56.28,1.982,1.608
10,0,60,30,0.7,12m-1m,6,8,2,111.55,56.28,1.982,1.608
20,5,60,15,0.6,12m,6,7,3,67.85,34.4,1.972,1.334
10,0,65,25,0.6,12m-1m,6,8,4,77.53,39.36,1.97,1.503
20,5,50,25,0.8,12m,4,7,4,79.23,40.34,1.964,1.502
10,0,65,25,0.7,12m-1m,4,9,4,83.58,42.63,1.961,1.569
15,0,60,25,0.7,12m-1m,6,7,4,79.44,40.54,1.96,1.553
25,0,50,25,0.5,12m,5,7,3,73.15,37.36,1.958,1.386
15,5,60,20,0.6,12m-1m,4,8,2,87.42,44.99,1.943,1.406
10,0,65,25,0.7,12m-1m,4,8,4,82.61,42.58,1.94,1.552
15,5,60,20,0.6,12m-1m,5,8,2,87.17,44.99,1.937,1.403
10,0,65,25,0.6,12m-1m,6,7,3,97.52,50.39,1.935,1.629
20,0,55,25,0.6,12m,4,8,3,76.43,39.5,1.935,1.393
15,0,70,15,0.8,12m-1m,6,9,2,96.1,49.91,1.926,1.458
15,0,70,15,0.8,12m-1m,5,9,2,96.1,49.91,1.926,1.458
15,0,60,25,0.7,12m-1m,5,7,4,76.41,39.73,1.923,1.505
15,0,70,15,0.8,12m-1m,6,8,2,94.91,49.62,1.913,1.456
15,5,60,20,0.6,12m-1m,5,8,4,75.14,39.34,1.91,1.487
25,0,50,25,0.6,12m,4,9,3,68.59,35.96,1.907,1.326
25,0,50,25,0.5,12m,6,7,3,71.17,37.36,1.905,1.365
10,0,65,25,0.6,12m-1m,5,8,4,74.17,38.93,1.905,1.463
20,5,60,15,0.6,12m,4,9,3,83.88,44.11,1.902,1.484
20,5,50,25,0.8,12m,4,9,3,89.57,47.14,1.9,1.526
25,0,50,25,0.6,12m,5,9,3,71.89,37.92,1.896,1.361
0,0,75,25,0.4,12m,6,8,3,85.21,44.96,1.895,1.483
15,0,70,15,0.8,12m-1m,5,8,2,94.0,49.62,1.894,1.448
15,0,65,20,0.7,12m-1m,4,7,3,87.68,46.37,1.891,1.522
10,0,65,25,0.6,12m-1m,6,9,4,81.22,42.97,1.89,1.548
25,0,50,25,0.6,12m,6,7,4,70.06,37.09,1.889,1.43
20,5,60,15,0.7,12m,4,9,4,75.4,39.98,1.886,1.474
20,5,60,15,0.6,12m,5,7,3,64.19,34.05,1.885,1.266
20,0,55,25,0.6,12m,5,9,3,78.32,41.56,1.884,1.403
