atk,def,rule,as,ds,cagr,mdd,cal,sh,sort,alpha,sw
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.76m-1m,KP250_4d,3,5,163.06,28.48,5.725,2.383,3.739,150.4,15
V25Q0G50M25g0.612m,V25Q10G20M45g0.46m-1m,KP200_5d,3,5,154.88,27.07,5.721,2.356,3.566,142.23,15
V15Q5G60M20g0.612m-1m,V15Q10G25M50g0.66m-1m,B35_4d,3,5,155.0,27.13,5.714,2.267,3.571,142.35,15
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.76m-1m,KP250_3d,3,5,162.67,28.48,5.711,2.381,3.742,150.01,15
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.66m-1m,KP150_4d,3,7,168.33,29.49,5.708,2.398,3.774,155.68,21
V15Q0G65M20g0.712m-1m,V15Q10G25M50g0.66m-1m,KP150_3d,3,5,154.45,27.07,5.705,2.31,3.576,141.79,25
V15Q5G60M20g0.612m-1m,V15Q5G30M50g0.66m-1m,KP250_5d,3,5,154.29,27.07,5.699,2.283,3.549,141.64,13
V25Q0G50M25g0.612m,V15Q10G25M50g0.66m-1m,KP200_5d,3,7,154.0,27.07,5.688,2.358,3.642,141.34,15
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.66m-1m,B40_4d,3,5,160.06,28.14,5.688,2.347,3.627,147.41,19
V15Q5G60M20g0.612m-1m,V15Q10G25M50g0.66m-1m,KP150_3d,3,5,153.96,27.07,5.687,2.286,3.565,141.3,25
V10Q0G60M30g0.712m-1m,V25Q10G20M45g0.46m-1m,KP200_3d,3,5,161.96,28.48,5.686,2.371,3.608,149.3,19
V15Q5G60M20g0.612m-1m,V25Q10G20M45g0.46m-1m,KP150_4d,3,5,153.83,27.07,5.682,2.28,3.519,141.18,21
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.66m-1m,KP150_4d,3,7,167.41,29.49,5.676,2.392,3.758,154.76,21
V15Q5G60M20g0.612m-1m,V15Q10G25M50g0.76m-1m,KP250_5d,3,5,153.19,27.07,5.658,2.292,3.562,140.54,13
V10Q0G65M25g0.712m-1m,V15Q5G30M50g0.66m-1m,KP250_5d,3,5,161.14,28.48,5.657,2.349,3.614,148.48,13
V10Q0G65M25g0.712m-1m,V25Q10G20M45g0.36m-1m,KP200_5d,3,7,161.13,28.48,5.657,2.357,3.593,148.47,15
V10Q0G65M25g0.712m-1m,V15Q5G30M50g0.66m-1m,B35_5d,3,7,173.27,30.64,5.656,2.395,3.787,160.61,15
V15Q0G65M20g0.712m-1m,V15Q10G25M50g0.66m-1m,KP150_4d,3,7,158.84,28.1,5.652,2.345,3.643,146.18,21
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.76m-1m,KP200_3d,3,7,163.74,28.98,5.651,2.378,3.661,151.08,19
V10Q0G65M25g0.712m-1m,V25Q10G20M45g0.36m-1m,B35_4d,3,5,160.9,28.48,5.649,2.305,3.553,148.25,15
V15Q5G60M20g0.612m-1m,V15Q5G30M50g0.66m-1m,B35_5d,3,5,162.4,28.75,5.648,2.316,3.659,149.75,15
V25Q0G50M25g0.612m,V15Q5G30M50g0.66m-1m,KP200_4d,3,5,152.83,27.07,5.645,2.302,3.624,140.17,15
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.76m-1m,B40_4d,3,5,164.22,29.1,5.643,2.384,3.704,151.56,19
V10Q0G60M30g0.712m-1m,V25Q10G20M45g0.36m-1m,B40_4d,3,7,143.53,25.44,5.642,2.22,3.339,130.87,19
V25Q0G50M25g0.612m,V15Q10G25M50g0.66m-1m,KP200_4d,3,5,152.71,27.07,5.641,2.324,3.628,140.06,15
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.76m-1m,B45_4d,3,5,165.47,29.37,5.634,2.391,3.684,152.82,17
V10Q0G65M25g0.712m-1m,V25Q10G20M45g0.36m-1m,KP200_5d,3,5,160.39,28.48,5.631,2.344,3.57,147.73,15
V15Q5G60M20g0.612m-1m,V15Q10G25M50g0.66m-1m,B35_5d,3,5,152.46,27.07,5.631,2.249,3.523,139.8,15
V15Q5G60M20g0.612m-1m,V15Q10G25M50g0.66m-1m,B40_4d,3,5,158.32,28.14,5.626,2.324,3.592,145.66,19
V25Q0G50M25g0.612m,V25Q10G20M45g0.46m-1m,KP200_4d,3,5,152.24,27.07,5.623,2.32,3.54,139.59,15
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.76m-1m,KP250_5d,3,5,160.01,28.48,5.618,2.358,3.627,147.35,13
